asset,mode,market_cost_bps,trades,total_return,win_rate,avg_net_ret,avg_hold_minutes,tp_hit_rate,sl_hit_rate,timeout_rate,same_bar_conflict_rate,confirmed_at_close_ratio,preview_only_ratio,avg_lead_minutes,avg_entry_improve_bps
DOT-USD,preview_unclosed15m,10.0,86,-0.0970880229756129,0.4651162790697674,-0.0011478963037264,42.7093023255814,0.4186046511627907,0.5,0.0813953488372093,0.0,0.6162790697674418,0.3837209302325581,6.490566037735849,21.903290788258012
DOT-USD,preview_unclosed15m,15.0,86,-0.1565168188036357,0.4534883720930232,-0.0019363186274517,42.7093023255814,0.4186046511627907,0.5,0.0813953488372093,0.0,0.6162790697674418,0.3837209302325581,6.490566037735849,21.903290788258012
DOT-USD,preview_unclosed15m,20.0,86,-0.2120609395263057,0.4418604651162791,-0.0027244520214366,42.7093023255814,0.4186046511627907,0.5,0.0813953488372093,0.0,0.6162790697674418,0.3837209302325581,6.490566037735849,21.903290788258012
ZEC-USD,official_close,6.0,63,-0.0446850987233703,0.4761904761904761,-0.0006578588698556,45.36507936507937,0.3968253968253968,0.5079365079365079,0.0952380952380952,0.0,1.0,0.0,,
ZEC-USD,official_close,10.0,63,-0.082540277971532,0.4603174603174603,-0.0012970158374487,45.36507936507937,0.3968253968253968,0.5079365079365079,0.0952380952380952,0.0,1.0,0.0,,
ZEC-USD,official_close,15.0,63,-0.1277766955522612,0.4603174603174603,-0.0020956926999525,45.36507936507937,0.3968253968253968,0.5079365079365079,0.0952380952380952,0.0,1.0,0.0,,
ZEC-USD,official_close,20.0,63,-0.1708036794333822,0.4603174603174603,-0.0028940702880257,45.36507936507937,0.3968253968253968,0.5079365079365079,0.0952380952380952,0.0,1.0,0.0,,
ZEC-USD,preview_unclosed15m,6.0,103,0.0309643715450389,0.4951456310679611,0.0003546684382203,45.76699029126213,0.4271844660194174,0.4757281553398058,0.0970873786407767,0.0,0.6019417475728155,0.3980582524271844,5.870967741935484,26.64430320662886
ZEC-USD,preview_unclosed15m,10.0,103,-0.0337737269778517,0.4854368932038835,-0.0002730907088122,45.76699029126213,0.4271844660194174,0.4757281553398058,0.0970873786407767,0.0,0.6019417475728155,0.3980582524271844,5.870967741935484,26.64430320662886
ZEC-USD,preview_unclosed15m,15.0,103,-0.1090425549429165,0.4854368932038835,-0.0010575335873661,45.76699029126213,0.4271844660194174,0.4757281553398058,0.0970873786407767,0.0,0.6019417475728155,0.3980582524271844,5.870967741935484,26.64430320662886
ZEC-USD,preview_unclosed15m,20.0,103,-0.1784813289161971,0.4757281553398058,-0.0018416919601013,45.76699029126213,0.4271844660194174,0.4757281553398058,0.0970873786407767,0.0,0.6019417475728155,0.3980582524271844,5.870967741935484,26.64430320662886
AAVE-USD,official_close,6.0,62,0.0052028329911131,0.5,0.0001229033599052,41.33870967741935,0.4677419354838709,0.4193548387096774,0.1129032258064516,0.0,1.0,0.0,,
AAVE-USD,official_close,10.0,62,-0.0323076667983693,0.5,-0.0004888282722102,41.33870967741935,0.4677419354838709,0.4193548387096774,0.1129032258064516,0.0,1.0,0.0,,
AAVE-USD,official_close,15.0,62,-0.0772533154912339,0.5,-0.0012532547016595,41.33870967741935,0.4677419354838709,0.4193548387096774,0.1129032258064516,0.0,1.0,0.0,,
AAVE-USD,official_close,20.0,62,-0.1201323687444657,0.5,-0.0020174165636701,41.33870967741935,0.4677419354838709,0.4193548387096774,0.1129032258064516,0.0,1.0,0.0,,
