asset,symbol,entry_mode,exit_config,market_cost_bps,net_ret,gross_ret,exit_reason,confirmed_at_close,preview_only,lead_minutes,delay_penalty_bps,delay_pct_of_tp175
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,-0.003279085551782024,-0.0012826495682689565,fixed_hold,1,0,9.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.005791417266555632,0.0078060215035410385,fixed_hold,1,0,14.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,-0.0038798457936136677,-0.001884613135270996,fixed_hold,1,0,9.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,-0.0017320999755086053,0.00026743462630940407,fixed_hold,1,0,5.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.0016726381122205147,0.003678992418064242,fixed_hold,1,0,6.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.0006798901343478825,0.0026842559620158246,fixed_hold,1,0,8.0,5.485414193733273,13.85920692960156
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.014322954886955452,0.016354647827963475,fixed_hold,1,0,8.0,-4.0230202401858595,-13.11053984575555
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.013628390420023395,0.015658692145622544,fixed_hold,1,0,6.0,4.941382845988773,10.388305261677486
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.01101538174513128,0.013040449603889392,fixed_hold,1,0,12.0,2.1353480452224183,4.550023173249921
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.00686676891862259,0.00888352708927398,fixed_hold,1,0,11.0,8.781558726673744,16.320883096170107
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.004311338465359915,0.006322978098578846,fixed_hold,1,0,13.0,5.638591442127527,12.982625482625776
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.022569183789932445,0.024617393960459588,fixed_hold,1,0,10.0,3.475842891902392,15.454864769938077
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.015675431892911096,0.017709833850778844,fixed_hold,0,1,6.0,-21.59626723451491,-21.642522906217803
