factor_id,horizon,n_months,rolling_ic_3m_mean_latest,rolling_ic_3m_min,rolling_ic_3m_max,rolling_ls_3m_mean_latest,rolling_ic_6m_mean_latest,rolling_ic_6m_min,rolling_ic_6m_max,rolling_ls_6m_mean_latest,ic_positive_month_rate,ls_positive_month_rate,recent_6m_ic_mean,full_period_ic_mean,recent_vs_full_ic_delta,recent_6m_ls_mean,full_period_ls_mean,recent_vs_full_ls_delta,stability_score,stability_class,main_stability_note_zh,main_stability_note_en
realized_kurt_20h,1h,25,-0.004393,-0.008073,0.00065,5.366e-05,-0.003091,-0.006959,-0.001894,1.91e-05,0.08,0.4,-0.003091,-0.003752,0.000661,1.91e-05,-2.119e-05,4.029e-05,60.4,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
realized_kurt_20h,24h,25,-0.003033,-0.026478,0.004342,0.00360019,-0.008668,-0.018079,-0.003921,0.0019488,0.24,0.4,-0.008668,-0.010788,0.00212,0.0019488,-1.999e-05,0.0019688,65.2,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
realized_kurt_20h,4h,25,-0.00654,-0.014335,0.004028,0.00018138,-0.004409,-0.011124,-0.003437,0.00021454,0.2,0.44,-0.004409,-0.006401,0.001992,0.00021454,-4.601e-05,0.00026056,64.8,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
realized_kurt_20h,72h,25,-0.002255,-0.022343,0.017565,0.00431407,-0.008105,-0.019291,-0.002142,0.00377677,0.28,0.56,-0.008105,-0.009124,0.001019,0.00377677,-0.00104838,0.00482515,69.6,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
realized_skew_20h,1h,25,-0.005884,-0.02105,-0.005875,0.00018157,-0.009437,-0.016447,-0.007605,0.0001397,0.0,0.68,-0.009437,-0.011537,0.0021,0.0001397,7.766e-05,6.204e-05,63.6,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
realized_skew_20h,24h,25,-0.018216,-0.05113,-0.011791,0.00232996,-0.021921,-0.035469,-0.014558,0.00174991,0.04,0.4,-0.021921,-0.026062,0.004141,0.00174991,0.00024093,0.00150898,54.2,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
realized_skew_20h,4h,25,-0.009806,-0.03608,-0.006871,0.00043964,-0.012774,-0.023515,-0.00906,0.00049635,0.08,0.6,-0.012774,-0.01626,0.003486,0.00049635,0.0001867,0.00030965,64.4,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
realized_skew_20h,72h,25,-0.023491,-0.038818,-0.008856,-0.00018694,-0.023654,-0.031317,-0.015887,0.00104421,0.08,0.36,-0.023654,-0.024803,0.001149,0.00104421,-0.00042901,0.00147322,59.6,UNSTABLE_SIGN_FLIP,因子信号方向不稳定，不建议单独使用,Factor signal direction is unstable — not recommended standalone
rev_10h,1h,25,0.023907,0.015302,0.036288,-8.401e-05,0.025704,0.020316,0.033604,-4.85e-05,1.0,0.44,0.025704,0.027035,-0.001331,-4.85e-05,-2.703e-05,-2.147e-05,88.1,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_10h,24h,25,0.022511,0.004437,0.050083,-0.00546676,0.030329,0.014508,0.04365,-0.00312851,0.92,0.28,0.030329,0.025374,0.004955,-0.00312851,-0.00146392,-0.00166459,83.2,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_10h,4h,25,0.030573,0.012217,0.04792,-0.00052633,0.031299,0.017814,0.040913,-0.00051045,0.96,0.4,0.031299,0.029621,0.001678,-0.00051045,-0.00031256,-0.00019789,86.8,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_10h,72h,25,0.008115,-0.010546,0.035985,-0.00935432,0.009241,0.005682,0.025983,-0.00660962,0.72,0.4,0.009241,0.013245,-0.004004,-0.00660962,-0.00394704,-0.00266258,77.6,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_1h,1h,25,0.040828,0.019052,0.048474,0.00016239,0.036489,0.033469,0.045036,7.793e-05,1.0,0.68,0.036489,0.036783,-0.000294,7.793e-05,0.00012023,-4.23e-05,93.5,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_1h,24h,25,0.015711,0.003537,0.021854,-0.00078175,0.016619,0.007544,0.018448,-0.00041519,0.92,0.48,0.016619,0.011731,0.004888,-0.00041519,-0.00033843,-7.676e-05,87.2,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_1h,4h,25,0.033263,0.011892,0.040096,0.00041756,0.029013,0.019261,0.034494,0.00012105,1.0,0.6,0.029013,0.028282,0.000731,0.00012105,5.937e-05,6.168e-05,92.0,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
