factor_id,regime_dependency_class,main_regime_note_zh,main_regime_note_en,paper_return_btc_corr,paper_return_btc_beta,long_short_btc_corr,long_short_btc_beta,ic_btc_return_corr,bull_minus_bear_paper_return,highvol_minus_lowvol_paper_return,drawdown_minus_normal_paper_return
mom_vol_adjusted_20h,REGIME_ROBUST,跨市场稳健,Regime-robust,-0.08601909813248096,-0.1076366916532432,0.007096318790569898,0.00034878149545325323,-0.09162070417038465,-0.048266355715225064,-0.04868858430264684,0.02671456980437667
price_pos_120h,REGIME_ROBUST,跨市场稳健,Regime-robust,0.019895656749298187,0.023144684688598077,0.11250796339226406,0.006593267615433083,0.0033076915490932884,-0.036391443427852,-0.018352054499902758,0.11581036366563077
price_pos_24h,BEAR_DEPENDENT,熊市依赖,Bear-dependent,-0.28461965551030527,-0.2945697682651506,-0.04429580909812367,-0.0018553649849644574,-0.11903275001405532,-0.11719299446791055,0.027783449078127548,0.13024429060549814
price_pos_72h,REGIME_ROBUST,跨市场稳健,Regime-robust,-0.04192840873894924,-0.05343340737348374,0.05076795573831976,0.0027402860393104574,-0.03495921259803706,-0.04422375336303454,-0.022543198626550846,0.11812543223644766
price_volume_corr_20h,REGIME_ROBUST,跨市场稳健,Regime-robust,0.030480509001108137,0.02662807672676895,0.09475521839116467,0.0033176592468164884,-0.11426910327898009,0.011106983116345406,-0.01550516117156029,0.0179659098245643
q158_beta_20h,VOL_DEPENDENT,波动率依赖,Volatility-dependent,0.05591367552345022,0.062277062856440545,0.07022114128618806,0.0031379668343593484,-0.13782083479551763,0.024480215492985034,-0.11222737799372762,-0.0023662300804458934
q158_close_close_4h,REGIME_ROBUST,跨市场稳健,Regime-robust,0.10878163726309943,0.14492616285828053,-0.010939760060202646,-0.000292147172404907,0.05488170512389522,0.01671906962666006,0.0016228810043672492,-0.025173007982491002
q158_cntd_20h,BEAR_DEPENDENT,熊市依赖,Bear-dependent,-0.20649395657117744,-0.22204985166177899,-0.03302837368462236,-0.001271476988108677,-0.011595677082114224,-0.13027957658200506,-0.018516030419526888,0.03270711260773673
q158_cntn_20h,BULL_DEPENDENT,牛市依赖,Bull-dependent,0.21994845723424158,0.21408208861916056,-0.03689830318426154,-0.0013837781502576527,0.02156655980341703,0.11374149526089465,0.025625763691194514,-0.03480340394032658
q158_cntp_20h,BEAR_DEPENDENT,熊市依赖,Bear-dependent,-0.21172571046423522,-0.2052431319502524,-0.0417264538485053,-0.0016496081299339413,-0.0056241217719398195,-0.11821739070142026,-0.02599848506126151,0.04750567334036199
