,a101_vol_xs_z_product_112h,a101_volume_cap_alpha_min_56_84,a101_volume_cap_alpha_min_80_80,a101_volume_high_alpha_min_84_84,a101_volume_low_alpha_min_84_120,a101_volume_xs_z_mean_neg_112h,amihud_illiquidity_20h,bb_zscore_20h,breakout_dist_20h,breakout_dist_48h,candle_body,candle_wick_lower,candle_wick_upper,clv_20h,downside_vol_20h,ema_12_26_gap,funding_rate_change_24h,funding_rate_level_20h,funding_rate_zscore_80h,intraday_ret,klow_close,ksft_5h,ma_gap_10_40,ma_gap_20_80,ma_gap_5_20,mom_10h,mom_120h,mom_20h,mom_40h,mom_5h,mom_72h,mom_accel_20h,mom_vol_adjusted_20h,price_pos_120h,price_pos_24h,price_pos_72h,price_volume_corr_20h,q158_beta_20h,q158_close_close_4h,q158_cntd_20h,q158_cntn_20h,q158_cntp_20h,q158_cord_20h,q158_corr_20h,q158_high_close_0h,q158_high_close_1h,q158_high_close_2h,q158_high_close_3h,q158_high_close_4h,q158_high_low_range,q158_imax_20h,q158_imin_20h,q158_imxd_20h,q158_klen_open,q158_klow_open,q158_klow_range,q158_kmid_open,q158_kmid_range,q158_ksft_open,q158_ksft_range,q158_kup_open,q158_kup_range,q158_low_close_0h,q158_low_close_1h,q158_low_close_2h,q158_low_close_3h,q158_low_close_4h,q158_ma_10h,q158_ma_20h,q158_ma_30h,q158_ma_5h,q158_ma_60h,q158_max_10h,q158_max_20h,q158_max_30h,q158_max_5h,q158_max_60h,q158_min_10h,q158_min_20h,q158_min_30h,q158_min_5h,q158_min_60h,q158_open_close_0h,q158_open_close_1h,q158_open_close_2h,q158_open_close_3h,q158_open_close_4h,q158_qtld_20h,q158_qtld_30h,q158_qtlu_20h,q158_qtlu_30h,q158_rank_close_20h,q158_rank_close_30h,q158_resi_20h,q158_roc_20h,q158_rsqr_20h,q158_rsv_20h,q158_rsv_30h,q158_std_10h,q158_std_20h,q158_std_30h,q158_std_5h,q158_std_60h,q158_sumd_20h,q158_sumn_20h,q158_sump_20h,q158_vma_20h,q158_volume_ratio_1h,q158_volume_ratio_2h,q158_volume_ratio_3h,q158_volume_ratio_4h,q158_vstd_20h,q158_vsumd_20h,q158_vsumn_20h,q158_vsump_20h,q158_wvma_20h,qvol_ma_ratio_20_80,qvol_ma_ratio_5_20,qvol_zscore_20h,qvol_zscore_48h,range_1h,range_24h,range_4h,range_breakout_vol_confirm_20h,realized_kurt_20h,realized_skew_20h,rev_10h,rev_1h,rev_24h,rev_2h,rev_3h,rev_72h,reversal_5h,rsi_14h,rsi_28h,rsi_7h,taker_buy_delta_5h,taker_buy_ratio_20h,taker_buy_zscore_20h,tech_atr,tech_macd,trend_efficiency_24h,up_down_vol_ratio_20h,vol_40h,vol_5h,vol_of_vol_20h,vol_ratio_20_80,vol_ratio_5_20,vol_ret_corr_20h,vol_zscore_20h,vol_zscore_48h,volatility_20h,volume_pressure_20h,vwap_dev_20h,williams_r_14h,wq101_alpha101,wq101_alpha12,wq101_alpha53,wvma_20h,xs_rank_mom_accel,xs_rank_ret_1h,xs_rank_vol
a101_vol_xs_z_product_112h,1.0,,,,,0.845181,,,,,,,,,,,,,,,,,-0.110449,,,,,,-0.098175,,,0.012413,,,-0.009592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13483,,,,,0.191631,,,,,-0.141245,,,,,,,,,0.070489,,0.142926,,-0.054566,,,,,-0.018629,,,0.168039,,,,,,,,,,,,,,,,,,,,,0.224318,,,,,,,0.141482,,,,,,-0.079148,,,,,,,0.046913,,0.191064,,0.158684,,,,,,,,,,,,,,0.019479,,
q158_high_close_2h,,,0.007507,0.002243,,,-0.024444,-0.558109,-0.518666,,-0.533133,0.078439,-0.078368,-0.252487,0.273134,-0.123864,,-0.028776,-0.057059,-0.561533,0.175553,-0.068918,,0.005773,-0.170969,-0.425611,,-0.282088,,-0.616799,-0.119682,,-0.287341,,,-0.299799,-0.111371,-0.125534,0.708784,-0.247409,0.23755,-0.236381,-0.117865,-0.094872,0.421144,0.759056,1.0,0.828377,0.698174,0.16483,0.124368,-0.173245,0.158112,0.157469,0.169859,0.078229,-0.561533,-0.53301,-0.447473,-0.416234,-0.001679,-0.078247,0.235326,0.618076,0.771718,0.731153,0.622161,0.680982,0.484918,,0.875528,,0.649508,0.522093,,0.758511,,0.397088,0.311387,,0.472475,,0.561533,0.856659,0.864413,0.709052,0.616859,0.482991,,0.529862,,-0.580283,,-0.663183,0.282088,0.021485,-0.518688,,0.196166,0.174703,,0.198863,,-0.288472,0.288471,-0.288472,-0.018175,0.058766,0.114817,0.024271,0.013837,0.005623,0.027893,-0.027893,0.027893,0.017351,0.061317,0.078534,-0.000851,,0.16483,,0.225491,-0.527015,0.011214,-0.082565,0.425611,0.561427,,0.856153,0.863875,0.119682,0.616799,-0.458346,,-0.617981,-0.194937,-0.091671,-0.266356,0.066146,-0.285771,,-0.224278,,0.180251,,0.067249,0.060142,-0.124631,0.013181,,0.18016,-0.180003,-0.515889,0.589869,-0.483951,0.204599,0.261404,0.150825,,-0.360544,0.014423
q158_high_close_3h,,,0.027735,0.005225,,,-0.021099,-0.644647,-0.591386,,-0.437674,0.064752,-0.075329,-0.283824,0.282681,-0.188915,,-0.027357,-0.068172,-0.462408,0.144226,-0.106077,,-0.002686,-0.275563,-0.520836,,-0.351396,,-0.763416,-0.149668,,-0.355528,,,-0.354027,-0.16,-0.195545,0.893653,-0.293273,0.281177,-0.28022,-0.167432,-0.137906,0.3393,0.604324,0.828377,1.0,0.863267,0.133438,0.186269,-0.2319,0.230569,0.127429,0.139452,0.064565,-0.462408,-0.437558,-0.364774,-0.337494,-0.013917,-0.075189,0.191729,0.501658,0.722571,0.821874,0.783035,0.783291,0.577081,,0.894557,,0.689043,0.56962,,0.764155,,0.459895,0.378937,,0.514541,,0.462408,0.690578,0.893432,0.893975,0.763507,0.575904,,0.621336,,-0.657297,,-0.715356,0.351396,0.02857,-0.59139,,0.180593,0.162599,,0.163548,,-0.357018,0.357016,-0.357019,0.01577,0.034847,0.068255,0.117551,0.049228,0.030356,0.002732,-0.002732,0.002732,0.017696,0.050613,0.058194,-0.0356,,0.133438,,0.189704,-0.523662,0.009094,-0.11925,0.520836,0.462625,,0.690436,0.893152,0.149668,0.763416,-0.539256,,-0.701687,-0.15574,-0.113647,-0.195365,0.059394,-0.392764,,-0.277461,,0.155255,,0.061164,0.046911,-0.1717,-0.01712,,0.158936,-0.223357,-0.606086,0.662332,-0.397071,0.202472,0.211729,0.135902,,-0.297032,0.010471
q158_high_close_4h,,,0.042516,0.002987,,,-0.01793,-0.709087,-0.646402,,-0.381413,0.069296,-0.075024,-0.311679,0.293839,-0.256047,,-0.033415,-0.083937,-0.402917,0.134252,-0.135682,,-0.017225,-0.396124,-0.605936,,-0.413375,,-0.911947,-0.177401,,-0.416322,,,-0.398847,-0.206193,-0.268617,0.914187,-0.33305,0.319463,-0.318305,-0.214523,-0.178614,0.284794,0.518746,0.698174,0.863267,1.0,0.110607,0.240455,-0.283771,0.296179,0.105417,0.130079,0.06913,-0.402917,-0.381329,-0.310051,-0.286236,-0.023327,-0.074894,0.164336,0.435954,0.619465,0.776517,0.851218,0.853371,0.653252,,0.819645,,0.71453,0.606488,,0.730285,,0.501924,0.428956,,0.518655,,0.402917,0.59521,0.757914,0.914407,0.91211,0.642717,,0.693132,,-0.713441,,-0.724064,0.413375,0.034496,-0.646387,,0.16901,0.156319,,0.117971,,-0.418055,0.418053,-0.418056,0.037572,0.024487,0.044318,0.079323,0.122457,0.045265,-0.01442,0.01442,-0.01442,0.018372,0.041248,0.035719,-0.058289,,0.110607,,0.142722,-0.504332,0.007178,-0.151037,0.605936,0.403198,,0.595407,0.75789,0.177401,0.911947,-0.604451,,-0.758882,-0.138672,-0.129007,-0.153236,0.054761,-0.483148,,-0.326345,,0.134327,,0.057391,0.032052,-0.2156,-0.036251,,0.143895,-0.264643,-0.677939,0.714764,-0.345425,0.193127,0.176008,0.1256,,-0.254764,0.007272
q158_high_low_range,,,-0.140763,-0.022093,,,-0.061296,0.020575,0.006115,,0.000415,-0.139032,-0.104521,-0.024819,0.539286,0.02751,,-0.054587,-0.122814,-0.009672,0.42614,0.015714,,0.0197,0.026279,0.009828,,0.028227,,-0.00558,0.038216,,0.049997,,,0.021502,0.055791,0.032376,0.012162,0.032988,-0.030056,0.035663,0.045996,0.067323,0.58296,0.226798,0.16483,0.133438,0.110607,1.0,-0.120272,-0.055813,-0.040312,0.999898,0.426253,-0.139392,-0.009672,0.000353,-0.016334,-0.010546,0.432108,-0.104858,-0.567437,-0.198032,-0.13049,-0.104564,-0.092332,0.006839,-0.012413,,0.013935,,0.387646,0.332268,,0.44863,,-0.3685,-0.341368,,-0.417685,,0.009672,0.011263,0.014436,0.012067,0.005408,-0.108029,,0.084126,,0.021872,,-0.020755,-0.028227,0.053294,0.006102,,0.58922,0.526823,,0.674482,,0.047531,-0.047535,0.047527,-0.497952,-0.286652,-0.318992,-0.345293,-0.359268,-0.379393,0.401728,-0.401728,0.401728,0.068915,0.205966,0.307206,0.497223,,1.0,,0.776006,0.557878,0.045114,0.0245,-0.009828,0.00946,,0.011085,0.014373,-0.038216,0.00558,0.034792,,0.024654,-0.022877,0.082011,-0.030842,0.19932,0.028166,,0.047263,,0.662683,,0.22109,0.261238,0.039162,0.498284,,0.625789,0.026874,-0.008458,0.001943,0.003264,0.00823,0.01323,0.51174,,0.031558,0.060456
q158_imax_20h,,,0.033843,-0.033005,,,0.002067,-0.569363,-0.590662,,-0.058247,0.062667,-0.035856,-0.42756,0.240783,-0.626611,,-0.104117,-0.148505,-0.066497,-0.013442,-0.084859,,-0.254468,-0.65339,-0.478365,,-0.704764,,-0.283856,-0.305099,,-0.729024,,,-0.514457,-0.475106,-0.71049,0.234977,-0.541416,0.526791,-0.512098,-0.485798,-0.298223,-0.061806,0.048518,0.124368,0.186269,0.240455,-0.120272,1.0,-0.459916,0.845365,-0.120981,-0.014294,0.06257,-0.066497,-0.058185,-0.020083,-0.016488,-0.103342,-0.035828,0.084837,0.123221,0.169609,0.215134,0.25882,0.349152,0.589034,,0.189066,,0.163203,0.502644,,0.023005,,0.298564,0.428069,,0.190033,,0.066497,0.130993,0.186501,0.234658,0.283378,0.532501,,0.582873,,-0.554938,,0.09086,0.704764,0.043051,-0.590435,,-0.154266,0.020447,,-0.151307,,-0.728838,0.728842,-0.728833,0.218765,0.011108,0.032408,0.056512,0.080358,0.187162,-0.196031,0.196031,-0.196031,0.000817,-0.071492,-0.295878,-0.22349,,-0.120272,,-0.148917,-0.46257,-0.030928,-0.264776,0.478365,0.067351,,0.131621,0.1869,0.305099,0.283856,-0.622984,,-0.514717,0.028053,-0.200806,0.036875,0.009717,-0.361471,,-0.582048,,-0.119489,,-0.056063,-0.153072,-0.464429,-0.201659,,-0.021218,-0.49332,-0.560239,0.413445,-0.056196,0.080808,-0.048521,-0.00645,,-0.041194,-0.032323
q158_imin_20h,,,0.035531,0.042897,,,-0.02694,0.614147,0.626252,,0.0584,-0.043552,0.079488,0.428291,-0.201324,0.625626,,0.012589,0.138641,0.069622,-0.067335,0.077052,,0.231858,0.677192,0.519415,,0.704592,,0.325258,0.286604,,0.726889,,,0.515742,0.445808,0.715118,-0.269384,0.536131,-0.501147,0.527602,0.457667,0.296078,-0.036541,-0.1059,-0.173245,-0.2319,-0.283771,-0.055813,-0.459916,1.0,-0.849344,-0.055031,-0.06656,-0.043653,0.069622,0.058332,0.015009,0.006947,0.047932,0.079201,0.025814,-0.075362,-0.155984,-0.224841,-0.285514,-0.394158,-0.621376,,-0.215052,,-0.301394,-0.440492,,-0.178368,,-0.220942,-0.545152,,-0.06761,,-0.069622,-0.14674,-0.21245,-0.269424,-0.325295,-0.621154,,-0.563171,,0.593416,,-0.048763,-0.704592,-0.085569,0.626534,,-0.134792,-0.031936,,-0.111544,,0.720247,-0.720238,0.720257,0.109497,0.00171,0.013387,0.025973,0.03772,0.106118,-0.084349,0.084349,-0.084349,0.013916,0.1035,-0.133509,-0.074023,,-0.055813,,-0.105788,-0.031756,0.036895,0.265912,-0.519415,-0.069742,,-0.146568,-0.21213,-0.286604,-0.325258,0.641846,,0.549169,-0.016379,0.219279,-0.015419,0.022966,0.39029,,0.574187,,-0.049476,,0.069647,-0.145335,0.438375,-0.098279,,0.059925,0.472502,0.590236,-0.456603,0.052319,-0.087062,0.053721,0.042944,,0.028617,0.004152
q158_imxd_20h,,,0.006214,-0.048436,,,0.017821,-0.689153,-0.707755,,-0.058687,0.057906,-0.06161,-0.496801,0.24564,-0.721806,,-0.06223,-0.169449,-0.069214,0.026089,-0.093758,,-0.269482,-0.787079,-0.593338,,-0.80477,,-0.348301,-0.337232,,-0.83429,,,-0.590217,-0.525973,-0.836746,0.282949,-0.627608,0.598995,-0.605464,-0.539547,-0.336415,-0.019604,0.076013,0.158112,0.230569,0.296179,-0.040312,0.845365,-0.849344,1.0,-0.041054,0.025256,0.057905,-0.069214,-0.058611,-0.014972,-0.009068,-0.084206,-0.06144,0.032121,0.102625,0.174352,0.242715,0.307524,0.431314,0.708478,,0.221347,,0.269452,0.547378,,0.106571,,0.302729,0.568218,,0.140308,,0.069214,0.146701,0.217969,0.282717,0.347984,0.674504,,0.671041,,-0.669565,,0.088677,0.80477,0.087434,-0.707778,,-0.012074,0.032139,,-0.024777,,-0.829459,0.829456,-0.829462,0.064085,0.007558,0.014093,0.020793,0.027131,0.045133,-0.064522,0.064522,-0.064522,-0.010544,-0.102908,-0.091814,-0.088513,,-0.040312,,-0.026953,-0.179507,-0.037913,-0.28614,0.593338,0.069795,,0.146991,0.218125,0.337232,0.348301,-0.730346,,-0.618254,0.03398,-0.241765,0.037243,-0.006334,-0.456766,,-0.66018,,-0.041939,,-0.075459,-0.003463,-0.512773,-0.061393,,-0.050245,-0.549513,-0.675839,0.514664,-0.055174,0.09506,-0.068166,-0.032847,,-0.034948,-0.023039
q158_klen_open,,,-0.140947,-0.021907,,,-0.061266,0.025701,0.011138,,0.013526,-0.140118,-0.103174,-0.022639,0.53848,0.028112,,-0.054379,-0.122772,0.003573,0.424808,0.015403,,0.019636,0.026995,0.013274,,0.0305,,-0.000734,0.039249,,0.052469,,,0.024235,0.056271,0.032969,0.006676,0.035371,-0.032323,0.037956,0.046483,0.067789,0.574042,0.216485,0.157469,0.127429,0.105417,0.999898,-0.120981,-0.055031,-0.041054,1.0,0.425036,-0.140476,0.003573,0.013464,-0.005132,0.00019,0.433628,-0.103513,-0.576293,-0.208435,-0.137939,-0.110528,-0.097475,0.000818,-0.016564,,0.005233,,0.38235,0.32838,,0.441792,,-0.373972,-0.345507,,-0.424738,,-0.003572,0.002835,0.007902,0.006581,0.000564,-0.112493,,0.079852,,0.027527,,-0.014502,-0.0305,0.053367,0.011126,,0.58907,0.526671,,0.674407,,0.04998,-0.049984,0.049976,-0.497654,-0.28602,-0.318459,-0.345069,-0.359142,-0.379119,0.401661,-0.401661,0.401661,0.06894,0.206042,0.307337,0.497013,,0.999898,,0.775946,0.55896,0.045122,0.02461,-0.013274,-0.003708,,0.002668,0.007847,-0.039249,0.000734,0.038948,,0.030513,-0.017866,0.083073,-0.02353,0.199206,0.029768,,0.049135,,0.662897,,0.221112,0.261554,0.039659,0.498003,,0.625752,0.028337,-0.00405,-0.003914,0.014847,0.007413,0.006702,0.5117,,0.03984,0.06049
q158_klow_open,,,-0.087859,-0.03205,,,-0.039159,-0.059959,-0.041334,,-0.077061,0.792353,-0.222472,0.075527,0.281137,0.007722,,-0.049523,-0.069773,-0.092493,0.999925,-0.011773,,0.025994,-0.015227,-0.051434,,-0.01733,,-0.077895,0.017637,,-0.009779,,,-0.020624,0.007283,-0.002438,0.073086,-0.006397,0.010327,-0.00436,0.002361,0.022675,0.08979,0.222883,0.169859,0.139452,0.130079,0.426253,-0.014294,-0.06656,0.025256,0.425036,1.0,0.792185,-0.092493,-0.07696,0.229019,0.296381,0.0423,-0.222573,-0.559768,-0.04821,-0.007693,0.006145,0.017648,0.07836,0.054881,,0.091064,,0.254471,0.226965,,0.264453,,-0.18652,-0.157108,,-0.243096,,0.092493,0.091148,0.077947,0.073114,0.077599,0.00256,,0.109466,,-0.061226,,-0.082046,0.01733,0.051996,-0.041299,,0.288256,0.282629,,0.260325,,-0.01162,0.011616,-0.011619,-0.224202,-0.087154,-0.118944,-0.141743,-0.150202,-0.166335,0.174699,-0.174699,0.174699,0.037798,0.108795,0.158608,0.217096,,0.426253,,0.370153,0.107636,0.043474,-0.010025,0.051434,0.088834,,0.091609,0.078341,-0.017637,0.077895,-0.037894,,-0.064411,-0.072904,0.024033,-0.088732,0.105384,-0.033953,,-0.002112,,0.243476,,0.081485,0.021837,-0.002998,0.221112,,0.303411,-0.002558,-0.069465,0.046435,-0.077731,0.056352,-0.153345,0.243782,,-0.036291,0.034449
q158_klow_range,,,0.004785,-0.009988,,,-0.00812,-0.076789,-0.044496,,-0.075452,0.999943,-0.201903,0.103563,-0.032233,-0.017422,,-0.014727,0.006339,-0.085121,0.792266,-0.015968,,0.007458,-0.040491,-0.063599,,-0.042078,,-0.080081,-0.012886,,-0.045538,,,-0.035424,-0.028668,-0.031111,0.069713,-0.03224,0.03343,-0.032426,-0.028198,-0.021496,-0.291807,0.095701,0.078229,0.064565,0.06913,-0.139392,0.06257,-0.043653,0.057905,-0.140476,0.792185,1.0,-0.085121,-0.075338,0.305732,0.372143,-0.241457,-0.201745,-0.267391,0.061466,0.068732,0.069199,0.074848,0.079518,0.068868,,0.086087,,0.02652,0.03392,,-0.001342,,0.021385,0.03812,,-0.011657,,0.085121,0.088112,0.072235,0.06973,0.079821,0.071894,,0.067338,,-0.079911,,-0.070047,0.042078,0.024311,-0.044433,,-0.054997,-0.021881,,-0.13394,,-0.045957,0.045954,-0.045952,0.05774,0.07315,0.061952,0.052371,0.052382,0.047862,-0.0541,0.0541,-0.0541,-0.003973,-0.009895,-0.019442,-0.064722,,-0.139392,,-0.072149,-0.2057,0.019652,-0.02498,0.063599,0.08103,,0.088655,0.072757,0.012886,0.080081,-0.064679,,-0.085427,-0.062154,-0.027138,-0.075465,-0.00981,-0.055426,,-0.036024,,-0.145733,,-0.049422,-0.139508,-0.027819,-0.060818,,-0.059469,-0.024055,-0.070447,0.043803,-0.080195,0.045057,-0.200379,-0.055582,,-0.051098,2.2e-05
q158_kmid_open,,,-0.016131,0.004325,,,0.002771,0.389407,0.375486,,0.952965,-0.085278,0.118007,0.160217,-0.067146,0.05533,,0.010703,0.002665,1.0,-0.10181,-0.023585,,0.002652,0.064497,0.26977,,0.184229,,0.37734,0.089217,,0.194357,,,0.213666,0.056528,0.053927,-0.424112,0.191471,-0.183127,0.184215,0.057362,0.051435,-0.610168,-0.775257,-0.561533,-0.462408,-0.402917,-0.009672,-0.066497,0.069622,-0.069214,0.003573,-0.092493,-0.085121,1.0,0.952869,0.815068,0.768671,0.128216,0.117906,-0.606292,-0.777623,-0.565323,-0.456358,-0.397145,-0.459874,-0.321505,,-0.656997,,-0.389732,-0.296751,,-0.487898,,-0.397241,-0.306351,,-0.501039,,-1.0,-0.638536,-0.500762,-0.42418,-0.377275,-0.342774,,-0.332735,,0.430045,,0.481248,-0.184229,0.003049,0.375518,,-0.010966,-0.010486,,-0.006717,,0.193763,-0.193762,0.193765,0.018075,0.038164,0.031391,0.010122,0.003113,0.017171,-0.002789,0.002789,-0.002789,0.005099,0.005581,0.007857,-0.011528,,-0.009672,,-0.005579,0.417346,0.00399,0.026961,-0.26977,-0.994932,,-0.637925,-0.500335,-0.089217,-0.37734,0.318224,,0.443843,0.350675,0.076045,0.520635,-0.003653,0.129775,,0.164842,,0.010029,,0.001209,0.014554,0.063327,-0.016933,,-0.00136,0.130205,0.342171,-0.433307,0.884907,-0.086795,-0.476618,-0.001825,,0.636908,-0.000117
q158_kmid_range,,,-0.016594,0.007597,,,0.004328,0.382475,0.372107,,0.999975,-0.075482,0.11369,0.16744,-0.055754,0.050867,,0.009219,0.002026,0.952869,-0.085564,-0.034269,,0.001324,0.059036,0.256182,,0.173187,,0.35801,0.083508,,0.18764,,,0.207099,0.043615,0.049501,-0.401666,0.185618,-0.17824,0.177985,0.04386,0.040714,-0.624638,-0.739433,-0.53301,-0.437558,-0.381329,0.000353,-0.058185,0.058332,-0.058611,0.013464,-0.07696,-0.075338,0.952869,1.0,0.802929,0.816525,0.125319,0.113626,-0.635298,-0.749998,-0.542046,-0.435459,-0.377428,-0.439428,-0.306765,,-0.629735,,-0.376443,-0.281521,,-0.480698,,-0.394144,-0.300157,,-0.505832,,-0.952869,-0.610134,-0.476521,-0.401791,-0.35799,-0.328947,,-0.316569,,0.424447,,0.456395,-0.173187,0.002164,0.372124,,-0.002944,-0.005875,,0.001891,,0.186763,-0.186762,0.186764,0.013678,0.039285,0.029203,0.008975,0.001597,0.013683,0.001363,-0.001363,0.001363,0.007171,0.009354,0.012762,-0.008121,,0.000353,,0.003819,0.259663,0.004787,0.018868,-0.256182,-0.947391,,-0.609477,-0.476095,-0.083508,-0.35801,0.312476,,0.438228,0.36333,0.076183,0.527735,-0.004951,0.121757,,0.144907,,0.016512,,0.006494,0.018331,0.048342,-0.013278,,0.004025,0.113064,0.325315,-0.433069,0.869556,-0.040853,-0.479317,0.003508,,0.594321,0.001116
q158_ksft_open,,,-0.020822,-0.002662,,,0.010598,0.291212,0.308229,,0.802999,0.305663,-0.281451,0.206089,-0.06467,0.026064,,0.009671,0.000306,0.815068,0.220755,-0.012051,,-0.007569,0.025112,0.196919,,0.129436,,0.278114,0.058803,,0.137276,,,0.161659,0.027093,0.021192,-0.325064,0.134026,-0.126997,0.128627,0.027434,0.021606,-0.744943,-0.635819,-0.447473,-0.364774,-0.310051,-0.016334,-0.020083,0.015009,-0.014972,-0.005132,0.229019,0.305732,0.815068,0.802929,1.0,0.94415,-0.208604,-0.281456,-0.734072,-0.631407,-0.444832,-0.35177,-0.297118,-0.351433,-0.236452,,-0.519495,,-0.346698,-0.251489,,-0.454981,,-0.343481,-0.247246,,-0.457518,,-0.815068,-0.504374,-0.391196,-0.325289,-0.278174,-0.249692,,-0.249369,,0.320727,,0.381759,-0.129436,0.009502,0.308278,,-0.018645,-0.019329,,-0.014742,,0.136808,-0.136809,0.13681,0.008058,0.027615,0.024755,0.003996,-0.001855,0.011458,-7.6e-05,7.6e-05,-7.6e-05,0.006268,0.006632,0.010487,-0.004448,,-0.016334,,-0.015661,0.329556,0.004641,0.014743,-0.196919,-0.813773,,-0.503861,-0.390646,-0.058803,-0.278114,0.234751,,0.334814,0.270383,0.045121,0.407641,-0.009564,0.079307,,0.105303,,-0.003513,,0.003156,0.016577,0.033265,-0.006292,,-0.018915,0.084794,0.255378,-0.364583,0.71246,-0.042316,-0.580221,-0.013279,,0.529406,-0.003217
q158_ksft_range,,,-0.018688,-0.00121,,,0.011526,0.278912,0.295206,,0.816447,0.372067,-0.343378,0.225551,-0.057515,0.028065,,0.007479,-0.001042,0.768671,0.289211,-0.034679,,-0.000154,0.023403,0.180298,,0.121195,,0.25546,0.060668,,0.132611,,,0.154929,0.01853,0.021259,-0.298356,0.139173,-0.131651,0.132966,0.018274,0.0151,-0.765179,-0.597515,-0.416234,-0.337494,-0.286236,-0.010546,-0.016488,0.006947,-0.009068,0.00019,0.296381,0.372143,0.768671,0.816525,0.94415,1.0,-0.269798,-0.343372,-0.766524,-0.592402,-0.414501,-0.324575,-0.273211,-0.32624,-0.219529,,-0.486313,,-0.323942,-0.233209,,-0.435827,,-0.322574,-0.227258,,-0.442599,,-0.768671,-0.470143,-0.362041,-0.29869,-0.255675,-0.232358,,-0.232278,,0.312893,,0.348503,-0.121195,0.005845,0.295253,,-0.015475,-0.02099,,-0.010349,,0.131936,-0.131937,0.131937,0.000425,0.022691,0.01775,-0.001098,-0.005826,0.004358,0.005694,-0.005694,0.005694,0.004884,0.005243,0.013923,0.001973,,-0.010546,,-0.010995,0.139084,0.002115,0.000797,-0.180298,-0.767228,,-0.469502,-0.361337,-0.060668,-0.25546,0.227636,,0.324605,0.269041,0.044021,0.396479,-0.011916,0.070612,,0.098187,,-0.003308,,0.003247,0.01831,0.021999,0.000509,,-0.020808,0.079322,0.235268,-0.351253,0.69984,0.003224,-0.566329,-0.015409,,0.48911,-0.00223
q158_kup_open,,,-0.055236,-0.006264,,,-0.060082,0.107327,0.067728,,0.125465,-0.241336,0.810132,-0.085457,0.278011,0.050275,,-0.028382,-0.059545,0.128216,0.040857,0.019198,,0.023214,0.057073,0.078297,,0.070067,,0.094373,0.048894,,0.082111,,,0.064362,0.068953,0.05326,-0.090383,0.0572,-0.054459,0.060013,0.06466,0.07747,0.536864,0.041084,-0.001679,-0.013917,-0.023327,0.432108,-0.103342,0.047932,-0.084206,0.433628,0.0423,-0.241457,0.128216,0.125319,-0.208604,-0.269798,1.0,0.809985,-0.103125,-0.251563,-0.191964,-0.164642,-0.150948,-0.099053,-0.089596,,-0.11207,,0.190835,0.15413,,0.2423,,-0.265254,-0.263378,,-0.271214,,-0.128216,-0.108768,-0.096551,-0.090136,-0.094381,-0.155511,,-0.028545,,0.11107,,0.082138,-0.070067,0.042422,0.067735,,0.303336,0.306745,,0.276753,,0.080504,-0.080501,0.080505,-0.184456,-0.052682,-0.090168,-0.112291,-0.125693,-0.140103,0.156949,-0.156949,0.156949,0.038504,0.114343,0.145984,0.183444,,0.432108,,0.387172,0.303924,0.045672,0.039852,-0.078297,-0.124263,,-0.108721,-0.096669,-0.048894,-0.094373,0.098194,,0.11001,0.06541,0.074719,0.092193,0.1172,0.064361,,0.078353,,0.276389,,0.084721,0.019481,0.061811,0.179822,,0.347618,0.049972,0.078766,-0.060145,0.118888,-0.084728,0.123477,0.276593,,0.081347,0.041745
q158_kup_range,,,0.028065,0.017896,,,-0.029052,0.090215,0.055216,,0.113729,-0.201878,0.999943,-0.095301,-0.010447,0.029894,,-0.008439,0.01314,0.117906,-0.223642,0.005002,,0.008922,0.039862,0.066996,,0.048415,,0.091057,0.022715,,0.04917,,,0.045151,0.03098,0.031985,-0.088848,0.035867,-0.036209,0.035649,0.032451,0.037732,0.265224,-0.064011,-0.078247,-0.075189,-0.074894,-0.104858,-0.035828,0.079201,-0.06144,-0.103513,-0.222573,-0.201745,0.117906,0.113626,-0.281456,-0.343372,0.809985,1.0,0.259401,-0.136196,-0.113703,-0.100471,-0.094305,-0.094706,-0.076671,,-0.109373,,-0.004048,-0.014211,,0.021,,-0.056883,-0.072439,,-0.032723,,-0.117907,-0.105727,-0.0948,-0.088512,-0.09095,-0.09181,,-0.066806,,0.093916,,0.085183,-0.048415,0.013056,0.055222,,-0.016622,0.022162,,-0.094202,,0.048592,-0.048588,0.048594,0.086843,0.103099,0.083365,0.075587,0.069105,0.067399,-0.062669,0.062669,-0.062669,0.003497,0.001658,-0.023716,-0.086584,,-0.104858,,-0.028332,-0.043274,0.027412,0.022333,-0.066996,-0.11371,,-0.105574,-0.094967,-0.022715,-0.091057,0.072352,,0.089893,0.077209,0.033464,0.107293,0.012539,0.047616,,0.048534,,-0.090964,,-0.038845,-0.139083,0.033744,-0.091115,,0.009148,0.032917,0.076995,-0.050788,0.105319,-0.083403,0.164098,-0.001359,,0.04982,0.006685
