factor_id,profile_score,comp_standalone_quality,comp_paper,comp_cost,comp_regime,comp_shape,comp_stability,comp_capacity,comp_redundancy,comp_marginal_info,comp_evidence_completeness,weight_standalone_quality,weight_paper,weight_cost,weight_regime,weight_shape,weight_stability,weight_capacity,weight_redundancy,weight_marginal_info,weight_evidence_completeness
vol_ret_corr_20h,54.92,67.6,50.0,10.0,90.0,55.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
vol_zscore_20h,42.06,55.03,50.0,10.0,35.0,25.0,55.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
vol_zscore_48h,49.81,55.89,50.0,10.0,90.0,25.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
volatility_20h,46.91,67.55,50.0,10.0,40.0,25.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
volume_pressure_20h,48.01,52.26,50.0,10.0,50.0,55.0,40.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
vwap_dev_20h,51.11,63.1,50.0,10.0,90.0,25.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
williams_r_14h,47.51,59.21,30.0,30.0,15.0,55.0,90.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
wq101_alpha101,43.61,50.35,30.0,30.0,35.0,40.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
wq101_alpha12,55.73,51.28,15.0,10.0,90.0,25.0,90.0,50.0,95.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
wq101_alpha53,62.88,69.34,50.0,10.0,50.0,55.0,90.0,50.0,95.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
wvma_20h,44.17,66.78,50.0,10.0,40.0,55.0,15.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
xs_rank_mom_accel,48.0,48.87,30.0,30.0,90.0,25.0,40.0,50.0,45.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
xs_rank_ret_1h,42.79,57.74,30.0,30.0,35.0,55.0,15.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
xs_rank_vol,46.65,61.93,30.0,30.0,40.0,25.0,55.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
