factor_id,horizon,month,long_short_return,long_leg_return,short_leg_return,n_long,n_short,positive_ls
wq101_alpha44,24h,2025-01,-0.00141817,-0.00774614,-0.00632797,744,744,False
wq101_alpha44,24h,2025-02,-0.00321052,-0.01082379,-0.00761327,672,672,False
wq101_alpha44,24h,2025-03,-2.934e-05,-0.00635837,-0.00632902,744,744,False
wq101_alpha44,24h,2025-04,-0.00130576,0.00576396,0.00706972,720,720,False
wq101_alpha44,24h,2025-05,0.00139339,0.0026586,0.00126521,744,744,True
wq101_alpha44,24h,2025-06,0.00127359,-0.00327163,-0.00454522,720,720,True
wq101_alpha44,24h,2025-07,-0.0016176,0.00622577,0.00784337,744,744,False
wq101_alpha44,24h,2025-08,-0.00119841,0.00238425,0.00358266,744,744,False
wq101_alpha44,24h,2025-09,-0.00275571,0.00258243,0.00533814,720,720,False
wq101_alpha44,24h,2025-10,0.00142177,-0.00175932,-0.00318109,744,744,True
wq101_alpha44,24h,2025-11,0.00113759,-0.00708632,-0.00822391,720,720,True
wq101_alpha44,24h,2025-12,0.00216845,0.0027822,0.00061374,744,744,True
wq101_alpha44,24h,2026-01,-0.0011846,-0.00361664,-0.00243205,744,744,False
wq101_alpha44,24h,2026-02,-6.347e-05,-0.00243205,-0.00236858,672,672,False
wq101_alpha44,24h,2026-03,-0.00024693,0.00035295,0.00059988,744,744,False
wq101_alpha44,24h,2026-04,-0.0007695,0.00828608,0.00905558,720,720,False
wq101_alpha44,24h,2026-05,-0.00096573,0.00084615,0.00181188,744,744,False
wq101_alpha44,24h,2026-06,-0.00446785,-0.01106907,-0.00660122,265,265,False
wq101_alpha44,4h,2024-06,-0.00036885,-0.00158751,-0.00121866,715,715,False
wq101_alpha44,4h,2024-07,2.73e-05,-0.00011157,-0.00013887,744,744,True
wq101_alpha44,4h,2024-08,0.00026267,-0.00057639,-0.00083905,744,744,True
wq101_alpha44,4h,2024-09,-0.00051351,0.00101276,0.00152627,720,720,False
wq101_alpha44,4h,2024-10,-0.00017738,-0.00026004,-8.266e-05,744,744,False
wq101_alpha44,4h,2024-11,-0.00051603,0.00262547,0.00314149,720,720,False
wq101_alpha44,4h,2024-12,0.00014381,-0.00036524,-0.00050905,744,744,True
wq101_alpha44,4h,2025-01,-0.00041865,-0.0012064,-0.00078774,744,744,False
wq101_alpha44,4h,2025-02,-0.00063491,-0.00192795,-0.00129304,672,672,False
wq101_alpha44,4h,2025-03,0.00031898,-0.00117553,-0.00149451,744,744,True
wq101_alpha44,4h,2025-04,-0.00021124,0.00091019,0.00112144,720,720,False
wq101_alpha44,4h,2025-05,-0.00013353,0.00030549,0.00043902,744,744,False
wq101_alpha44,4h,2025-06,0.00063009,-0.00026696,-0.00089705,720,720,True
wq101_alpha44,4h,2025-07,-2.23e-05,0.00089451,0.00091681,744,744,False
wq101_alpha44,4h,2025-08,0.00016362,0.00056263,0.000399,744,744,True
wq101_alpha44,4h,2025-09,-0.00117515,-2.484e-05,0.00115031,720,720,False
wq101_alpha44,4h,2025-10,-0.00107158,-0.00089353,0.00017805,744,744,False
wq101_alpha44,4h,2025-11,0.00052764,-0.00085413,-0.00138176,720,720,True
wq101_alpha44,4h,2025-12,0.00093664,0.00053811,-0.00039854,744,744,True
wq101_alpha44,4h,2026-01,-8.39e-06,-0.00048313,-0.00047474,744,744,False
wq101_alpha44,4h,2026-02,0.00039675,-0.00027229,-0.00066903,672,672,True
wq101_alpha44,4h,2026-03,-0.00012691,-0.00012796,-1.05e-06,744,744,False
wq101_alpha44,4h,2026-04,-0.0009506,0.00105039,0.002001,720,720,False
wq101_alpha44,4h,2026-05,-0.00031184,0.0001109,0.00042274,744,744,False
wq101_alpha44,4h,2026-06,-0.00019541,-0.0016571,-0.00146169,285,285,False
wq101_alpha44,72h,2024-06,-0.0016983,-0.02904152,-0.02734322,715,715,False
wq101_alpha44,72h,2024-07,0.00472561,-0.00527611,-0.01000171,744,744,True
wq101_alpha44,72h,2024-08,0.00393385,-0.00775425,-0.0116881,744,744,True
wq101_alpha44,72h,2024-09,-0.00236179,0.01523486,0.01759665,720,720,False
wq101_alpha44,72h,2024-10,0.00314019,0.00071841,-0.00242179,744,744,True
wq101_alpha44,72h,2024-11,-0.00554481,0.06026088,0.06580569,720,720,False
wq101_alpha44,72h,2024-12,-0.00222641,-0.00896611,-0.0067397,744,744,False
wq101_alpha44,72h,2025-01,0.00159824,-0.03555554,-0.03715378,744,744,True
wq101_alpha44,72h,2025-02,-0.00439492,-0.01561196,-0.01121704,672,672,False
wq101_alpha44,72h,2025-03,-0.00167065,-0.02598129,-0.02431064,744,744,False
wq101_alpha44,72h,2025-04,-0.00350785,0.02061586,0.02412371,720,720,False
wq101_alpha44,72h,2025-05,0.00404824,0.01037615,0.0063279,744,744,True
wq101_alpha44,72h,2025-06,0.0005782,-0.01127191,-0.01185011,720,720,True
wq101_alpha44,72h,2025-07,-0.00367107,0.01469051,0.01836159,744,744,False
wq101_alpha44,72h,2025-08,-0.01104891,0.00813102,0.01917993,744,744,False
wq101_alpha44,72h,2025-09,-0.00928183,0.01056799,0.01984982,720,720,False
wq101_alpha44,72h,2025-10,-0.0085544,-0.01815957,-0.00960517,744,744,False
wq101_alpha44,72h,2025-11,0.00399189,-0.01539078,-0.01938267,720,720,True
wq101_alpha44,72h,2025-12,0.00131096,0.00382693,0.00251597,744,744,True
wq101_alpha44,72h,2026-01,-0.00396314,-0.01526305,-0.01129991,744,744,False
wq101_alpha44,72h,2026-02,-0.00127062,-0.00682955,-0.00555893,672,672,False
wq101_alpha44,72h,2026-03,-0.00182188,-0.00080554,0.00101634,744,744,False
wq101_alpha44,72h,2026-04,-0.00492077,0.02551093,0.0304317,720,720,False
wq101_alpha44,72h,2026-05,-0.00262303,1.36e-06,0.00262439,744,744,False
wq101_alpha44,72h,2026-06,-0.0049361,-0.03756052,-0.03262442,217,217,False
wq101_alpha45,1h,2024-06,7.662e-05,-0.00030863,-0.00038525,695,695,True
wq101_alpha45,1h,2024-07,7.111e-05,-2.047e-05,-9.158e-05,744,744,True
wq101_alpha45,1h,2024-08,0.00012701,-9.443e-05,-0.00022144,744,744,True
wq101_alpha45,1h,2024-09,9.023e-05,0.00032646,0.00023623,720,720,True
wq101_alpha45,1h,2024-10,-8.3e-05,-2.214e-05,6.086e-05,744,744,False
wq101_alpha45,1h,2024-11,0.00021414,0.00088048,0.00066634,720,720,True
wq101_alpha45,1h,2024-12,0.00013643,-6.903e-05,-0.00020546,744,744,True
wq101_alpha45,1h,2025-01,0.00019251,-0.00016998,-0.00036249,744,744,True
wq101_alpha45,1h,2025-02,-2.852e-05,-0.00042358,-0.00039506,672,672,False
wq101_alpha45,1h,2025-03,-0.00022459,-0.00047664,-0.00025206,744,744,False
wq101_alpha45,1h,2025-04,5.96e-06,0.00016336,0.0001574,720,720,True
wq101_alpha45,1h,2025-05,7.896e-05,0.00015265,7.369e-05,744,744,True
wq101_alpha45,1h,2025-06,5.855e-05,-0.00010752,-0.00016606,720,720,True
wq101_alpha45,1h,2025-07,-6.71e-05,0.0001953,0.0002624,744,744,False
wq101_alpha45,1h,2025-08,9.196e-05,0.00017209,8.013e-05,744,744,True
wq101_alpha45,1h,2025-09,-0.00014804,1.678e-05,0.00016483,720,720,False
wq101_alpha45,1h,2025-10,5.28e-05,-9.458e-05,-0.00014738,744,744,True
wq101_alpha45,1h,2025-11,0.00012915,-6.793e-05,-0.00019708,720,720,True
wq101_alpha45,1h,2025-12,-0.00012119,-0.00010308,1.81e-05,744,744,False
wq101_alpha45,1h,2026-01,0.00015534,-9.493e-05,-0.00025028,744,744,True
wq101_alpha45,1h,2026-02,4.575e-05,-2.334e-05,-6.908e-05,672,672,True
wq101_alpha45,1h,2026-03,-3.013e-05,-8.317e-05,-5.304e-05,744,744,False
wq101_alpha45,1h,2026-04,-0.00016161,0.00022129,0.00038291,720,720,False
wq101_alpha45,1h,2026-05,-0.00011606,1.261e-05,0.00012868,744,744,False
wq101_alpha45,1h,2026-06,-0.00011679,-0.00034839,-0.00023161,288,288,False
wq101_alpha45,24h,2024-06,-0.00015853,-0.00829749,-0.00813896,695,695,False
wq101_alpha45,24h,2024-07,0.00024974,-0.00162625,-0.00187599,744,744,True
wq101_alpha45,24h,2024-08,0.00039785,-0.00355263,-0.00395048,744,744,True
