factor_id,fee_bps,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,positive_month_rate,avg_turnover
range_24h,2,1.4861497032471371,0.566130240776292,0.5813134789067722,0.973881152456616,0.6802980948311522,0.6,0.06869013481713328
range_24h,5,0.7233602289058729,0.30747548572980765,0.581304589757697,0.5289404060235813,0.6802980948311522,0.6,0.06869013481713328
range_24h,10,-0.06435156807275166,-0.03223310857213946,0.5812977106985691,-0.05545025892739819,0.6802980948311522,0.6,0.06869013481713328
range_24h,20,-0.7242323246848221,-0.46981896180539406,0.5813137139182228,-0.8082020956269519,0.6802980948311522,0.6,0.06869013481713328
price_pos_24h,0,1.4566212781893917,0.5569399319037329,0.4357407259658123,1.2781452334281689,0.5202038143215363,0.68,0.2791865274540198
price_pos_24h,2,-0.08992410091120517,-0.04535357812557661,0.43575714737505683,-0.10407994085416737,0.5202038143215363,0.68,0.2791865274540198
price_pos_24h,5,-0.7948195410267018,-0.5416749423445739,0.43579626185434345,-1.242954540361841,0.5202038143215363,0.68,0.2791865274540198
price_pos_24h,10,-0.9828697114924605,-0.8651061818240335,0.43590005945969357,-1.9846434132088653,0.5202038143215363,0.68,0.2791865274540198
price_pos_24h,20,-0.9998807345971532,-0.9883217188334884,0.43625228600853255,-2.265482039936309,0.5202038143215363,0.68,0.2791865274540198
price_pos_72h,0,2.0674292781951538,0.7394948934260597,0.4412229324894271,1.676011918178754,0.44395030146205017,0.64,0.17338262688393338
price_pos_72h,2,0.6583872386720999,0.2838232538685037,0.441213417328833,0.643278836774296,0.44395030146205017,0.64,0.17338262688393338
price_pos_72h,5,-0.34077853700438143,-0.1860126725825011,0.44121029192790046,-0.42159640422190786,0.44395030146205017,0.64,0.17338262688393338
price_pos_72h,10,-0.8583502528234718,-0.6191303105192101,0.44123480911710045,-1.4031764895386971,0.44395030146205017,0.64,0.17338262688393338
price_pos_72h,20,-0.993463162177252,-0.916634423430973,0.4413952825965721,-2.0766747166819215,0.44395030146205017,0.64,0.17338262688393338
vol_zscore_20h,0,1.8824515220745854,0.6842926028316765,0.4053727757523194,1.6880576194632657,0.36708927489746696,0.68,0.5692846679781566
vol_zscore_20h,2,-0.6196525039407927,-0.37876938335377663,0.40538598063888726,-0.9343425807592978,0.36708927489746696,0.68,0.5692846679781566
vol_zscore_20h,5,-0.9817771209983049,-0.8608729550252922,0.40541580466796057,-2.1234321531454734,0.36708927489746696,0.68,0.5692846679781566
vol_zscore_20h,10,-0.9998849639956244,-0.988516049896603,0.40549221537245955,-2.43781757681492,0.36708927489746696,0.68,0.5692846679781566
vol_zscore_20h,20,-0.9999999954359402,-0.9999219258662841,0.4057450984705198,-2.4644091318306716,0.36708927489746696,0.68,0.5692846679781566
vol_zscore_48h,0,2.135288147979377,0.7570555992855335,0.4125497305604495,1.8350650678090907,0.38893730699048973,0.68,0.5151339692431116
vol_zscore_48h,2,-0.496936478556289,-0.28743009656782437,0.41256238281499136,-0.696694872195168,0.38893730699048973,0.68,0.5151339692431116
vol_zscore_48h,5,-0.9676790858386012,-0.8160020965836964,0.4125915557836394,-1.9777479329014749,0.38893730699048973,0.68,0.5151339692431116
vol_zscore_48h,10,-0.9996672136316502,-0.9807433097038581,0.41266735588519277,-2.376595327246356,0.38893730699048973,0.68,0.5151339692431116
