factor_id,regime_dimension,regime_value,n_months,mean,median,std,positive_rate,min,max,metric_type
a101_volume_low_alpha_min_84_120,btc_vol_regime,LOW_VOL,12,-0.016779514954809727,-0.028684299669543452,0.06357776910410576,0.4166666666666667,-0.1170154706231307,0.1216707596937931,paper_return
a101_volume_low_alpha_min_84_120,btc_drawdown_regime,DEEP_DRAWDOWN,32,0.040108942499999994,0.03839495,0.02313423192084322,1.0,0.01175919,0.10715923,ic_rank
a101_volume_low_alpha_min_84_120,btc_drawdown_regime,NORMAL,68,0.040988391029411764,0.03293594,0.025320058507064643,1.0,0.01003785,0.12351564,ic_rank
a101_volume_low_alpha_min_84_120,btc_drawdown_regime,DEEP_DRAWDOWN,32,0.0018216046874999997,0.000174055,0.004351423995998866,0.71875,-0.00509447,0.01769301,long_short
a101_volume_low_alpha_min_84_120,btc_drawdown_regime,NORMAL,68,0.0001203955882352942,-3.3350000000000003e-06,0.004932871527870836,0.4852941176470588,-0.01889593,0.01679416,long_short
a101_volume_low_alpha_min_84_120,btc_drawdown_regime,DEEP_DRAWDOWN,8,0.02367602149758497,0.018142246588588748,0.0755456957789533,0.625,-0.06411803049368,0.1314635959089471,paper_return
a101_volume_low_alpha_min_84_120,btc_drawdown_regime,NORMAL,17,-0.011028970188920977,-0.0218861805567937,0.07641584085896858,0.4117647058823529,-0.1170154706231307,0.1815452877241896,paper_return
a101_volume_xs_z_mean_neg_112h,btc_trend_regime,BEAR,32,0.0458374959375,0.034105579999999996,0.029398496170716038,1.0,0.00601463,0.11234044,ic_rank
a101_volume_xs_z_mean_neg_112h,btc_trend_regime,BULL,36,0.03746568833333333,0.026304679999999997,0.033748283452448326,0.9722222222222222,-0.01054966,0.16780825,ic_rank
a101_volume_xs_z_mean_neg_112h,btc_trend_regime,SIDEWAYS,32,0.042821702187500005,0.035531845,0.022936355936837936,1.0,0.01483785,0.08845857,ic_rank
a101_volume_xs_z_mean_neg_112h,btc_trend_regime,BEAR,32,0.0015505353125,0.00032693999999999996,0.0038144625315146207,0.84375,-0.00835674,0.01499788,long_short
a101_volume_xs_z_mean_neg_112h,btc_trend_regime,BULL,36,-0.0014573477777777778,-0.0004574,0.0068269582576962005,0.2222222222222222,-0.02385573,0.02590924,long_short
a101_volume_xs_z_mean_neg_112h,btc_trend_regime,SIDEWAYS,32,0.0014116184375,0.00018393,0.0049209228573583305,0.84375,-0.01633709,0.01590814,long_short
a101_volume_xs_z_mean_neg_112h,btc_trend_regime,BEAR,8,0.02499667276679654,0.01073652625818705,0.049883910933713964,0.625,-0.0219294373979778,0.1080329244011211,paper_return
a101_volume_xs_z_mean_neg_112h,btc_trend_regime,BULL,9,-0.07454152522484818,-0.0856651753769366,0.14718861287103618,0.1111111111111111,-0.2118679568334786,0.2601478255251017,paper_return
a101_volume_xs_z_mean_neg_112h,btc_trend_regime,SIDEWAYS,8,0.04035372630505005,0.021566051795974497,0.06151442404419433,0.75,-0.0334525213125056,0.1635458649714922,paper_return
a101_volume_xs_z_mean_neg_112h,btc_vol_regime,HIGH_VOL,52,0.04190394230769231,0.031478704999999996,0.030794730416098384,0.9807692307692307,-0.01054966,0.16780825,ic_rank
a101_volume_xs_z_mean_neg_112h,btc_vol_regime,LOW_VOL,48,0.04180946083333333,0.03538554,0.027610752193093866,1.0,0.00093986,0.11234044,ic_rank
a101_volume_xs_z_mean_neg_112h,btc_vol_regime,HIGH_VOL,52,0.0011520453846153847,0.00026984999999999997,0.006433156152705146,0.7307692307692307,-0.02385573,0.02590924,long_short
a101_volume_xs_z_mean_neg_112h,btc_vol_regime,LOW_VOL,48,-0.0003662908333333333,-1.124e-05,0.0042876207133485415,0.5,-0.01633709,0.01499788,long_short
a101_volume_xs_z_mean_neg_112h,btc_vol_regime,HIGH_VOL,13,0.022284813895709386,0.0133207730731241,0.12410770574919462,0.6923076923076923,-0.2118679568334786,0.2601478255251017,paper_return
a101_volume_xs_z_mean_neg_112h,btc_vol_regime,LOW_VOL,12,-0.03648109292442358,-0.013840974391758451,0.08420636402866734,0.25,-0.201743190447158,0.0955819898990846,paper_return
a101_volume_xs_z_mean_neg_112h,btc_drawdown_regime,DEEP_DRAWDOWN,32,0.03743171375,0.028669,0.02225861592188557,1.0,0.00601463,0.08843204,ic_rank
a101_volume_xs_z_mean_neg_112h,btc_drawdown_regime,NORMAL,68,0.043941827647058826,0.03477182,0.031837713841069766,0.9852941176470589,-0.01054966,0.16780825,ic_rank
a101_volume_xs_z_mean_neg_112h,btc_drawdown_regime,DEEP_DRAWDOWN,32,0.0009720325,0.00017545,0.0036573484435144295,0.75,-0.00835674,0.00934602,long_short
a101_volume_xs_z_mean_neg_112h,btc_drawdown_regime,NORMAL,68,0.0001649905882352943,3.9244999999999994e-05,0.006233516206936495,0.5588235294117647,-0.02385573,0.02590924,long_short
a101_volume_xs_z_mean_neg_112h,btc_drawdown_regime,DEEP_DRAWDOWN,8,-0.0015336597103341749,0.0040501560454218434,0.0838464467090372,0.5,-0.1782814005451521,0.1080329244011211,paper_return
a101_volume_xs_z_mean_neg_112h,btc_drawdown_regime,NORMAL,17,-0.00798830922154044,-0.0058289991161309,0.12117695860954407,0.47058823529411764,-0.2118679568334786,0.2601478255251017,paper_return
amihud_illiquidity_20h,btc_trend_regime,BEAR,32,0.011063933750000001,0.009475299999999999,0.025768905871342587,0.78125,-0.066431,0.07617129,ic_rank
amihud_illiquidity_20h,btc_trend_regime,BULL,36,0.012995266666666666,0.007838835,0.028832053680334323,0.6388888888888888,-0.05279104,0.10548896,ic_rank
amihud_illiquidity_20h,btc_trend_regime,SIDEWAYS,32,0.0061178078125,0.004273229999999999,0.01650902883173946,0.75,-0.04334255,0.05111116,ic_rank
amihud_illiquidity_20h,btc_trend_regime,BEAR,32,-0.002238105625,-0.00022282999999999998,0.005477291876237414,0.28125,-0.02332929,0.00672238,long_short
amihud_illiquidity_20h,btc_trend_regime,BULL,36,-0.0028618825,-0.000263875,0.0076524600882406715,0.25,-0.03583752,0.00347978,long_short
amihud_illiquidity_20h,btc_trend_regime,SIDEWAYS,32,-0.0028281912499999997,-0.00050684,0.005165800450692281,0.15625,-0.01984289,0.00050385,long_short
amihud_illiquidity_20h,btc_trend_regime,BEAR,8,0.039592458004526515,0.0449835195101883,0.06647670280800663,0.75,-0.0740177061860702,0.1197859192455981,paper_return
amihud_illiquidity_20h,btc_trend_regime,BULL,9,0.026380965950623524,0.0502884047271094,0.09032289675841065,0.6666666666666666,-0.1310393799896735,0.1414303265892322,paper_return
amihud_illiquidity_20h,btc_trend_regime,SIDEWAYS,8,0.10421464237365849,0.07091663975532485,0.13169213634966392,0.75,-0.0283276167140241,0.3648023372435223,paper_return
amihud_illiquidity_20h,btc_vol_regime,HIGH_VOL,52,0.013873066538461536,0.010289305,0.02107431129990923,0.8461538461538461,-0.05279104,0.06174313,ic_rank
amihud_illiquidity_20h,btc_vol_regime,LOW_VOL,48,0.006171788958333335,0.003558825,0.027225115030976903,0.5833333333333334,-0.066431,0.10548896,ic_rank
amihud_illiquidity_20h,btc_vol_regime,HIGH_VOL,52,-0.0025548959615384614,-0.00031095,0.00556472757017482,0.25,-0.02648267,0.00347978,long_short
amihud_illiquidity_20h,btc_vol_regime,LOW_VOL,48,-0.0027561391666666665,-0.000299855,0.006895345788611526,0.20833333333333334,-0.03583752,0.00672238,long_short
amihud_illiquidity_20h,btc_vol_regime,HIGH_VOL,13,0.07382914792093277,0.0466196768501439,0.11384949931973788,0.7692307692307693,-0.0842668546998114,0.3648023372435223,paper_return
amihud_illiquidity_20h,btc_vol_regime,LOW_VOL,12,0.03567554780074713,0.0515832876113112,0.08613738288649855,0.6666666666666666,-0.1310393799896735,0.1696225057546128,paper_return
amihud_illiquidity_20h,btc_drawdown_regime,DEEP_DRAWDOWN,32,0.0183221284375,0.009475299999999999,0.025640173940518412,0.8125,-0.00542414,0.10548896,ic_rank
amihud_illiquidity_20h,btc_drawdown_regime,NORMAL,68,0.006343194411764708,0.00616783,0.023007178451951115,0.6764705882352942,-0.066431,0.06174313,ic_rank
amihud_illiquidity_20h,btc_drawdown_regime,DEEP_DRAWDOWN,32,-0.0045934546875,-0.0006794100000000001,0.008510485017120099,0.1875,-0.03583752,0.00141444,long_short
amihud_illiquidity_20h,btc_drawdown_regime,NORMAL,68,-0.0017376282352941173,-0.000227145,0.004558395517554997,0.25,-0.02648267,0.00672238,long_short
amihud_illiquidity_20h,btc_drawdown_regime,DEEP_DRAWDOWN,8,0.11252107199083901,0.1153055899303782,0.12807603712131982,0.75,-0.033169968650627,0.3648023372435223,paper_return
amihud_illiquidity_20h,btc_drawdown_regime,NORMAL,17,0.028689230626728214,0.0433473621702327,0.07631545520092385,0.7058823529411765,-0.1310393799896735,0.1696225057546128,paper_return
bb_zscore_20h,btc_trend_regime,BEAR,32,-0.0176738475,-0.021375205,0.020263685370079984,0.1875,-0.04910213,0.03900676,ic_rank
bb_zscore_20h,btc_trend_regime,BULL,36,-0.025337589722222224,-0.027995890000000002,0.01949559236790577,0.08333333333333333,-0.06577333,0.02536881,ic_rank
bb_zscore_20h,btc_trend_regime,SIDEWAYS,32,-0.032981773125,-0.033315029999999995,0.013133346020293691,0.0,-0.05519554,-0.00120236,ic_rank
bb_zscore_20h,btc_trend_regime,BEAR,32,-0.0028459046875,-0.00059202,0.00513993113605933,0.1875,-0.01765062,0.00421753,long_short
bb_zscore_20h,btc_trend_regime,BULL,36,-0.001986470833333333,-0.000550795,0.0049373769876735005,0.25,-0.01961749,0.00713471,long_short
bb_zscore_20h,btc_trend_regime,SIDEWAYS,32,4.498749999999954e-06,0.00010944,0.0025583131269152283,0.5625,-0.0076203,0.00484979,long_short
bb_zscore_20h,btc_trend_regime,BEAR,8,-0.15365194602954488,-0.12246504142589884,0.1021668687498665,0.0,-0.3728645649000103,-0.0526731217983478,paper_return
bb_zscore_20h,btc_trend_regime,BULL,9,-0.15846498890322477,-0.1432929154736862,0.1331096343156155,0.1111111111111111,-0.413885644964078,0.0342995205502816,paper_return
