factor_id,check,status,detail
ma_gap_10_40,period_ls,OK,100 rows
ma_gap_10_40,ls_aggregate,MISSING,LS aggregate fields are NaN
ma_gap_10_40,cumulative_ls,OK,100 rows
ma_gap_10_40,paper_payload,OK,Present in payload
ma_gap_10_40,regime_btc,OK,regime=VOL_DEPENDENT
ma_gap_10_40,quantile_shape,OK,shape=WEAK_MONOTONIC
ma_gap_10_40,rolling_stability,OK,stability=
ma_gap_10_40,decile_shape,OK,shape=BOTH_TAILS_U_SHAPED
ma_gap_10_40,capacity_liquidity,OK,class=
ma_gap_10_40,pairwise_redundancy,OK,77 pairs
ma_gap_10_40,cluster,OK,cluster=13
ma_gap_10_40,marginal_info,OK,novelty=HIGHLY_REDUNDANT
ma_gap_10_40,scorecard_not_stale,OK,"rankic=-0.023797, coverage=0.9969"
ma_gap_10_40,unified_profile,OK,score=44.6
ma_gap_10_40,ls_btc_corr,OK,ls_btc_corr=0.0471
ma_gap_10_40,source_metadata,OK,All source metadata present
ma_gap_20_80,factor_values,OK,factor_values.parquet exists
ma_gap_20_80,factor_level_rankic,OK,4 horizon(s)
ma_gap_20_80,period_ic,OK,100 rows
ma_gap_20_80,period_ls,OK,100 rows
ma_gap_20_80,ls_aggregate,MISSING,LS aggregate fields are NaN
ma_gap_20_80,cumulative_ls,OK,100 rows
ma_gap_20_80,paper_payload,OK,Present in payload
ma_gap_20_80,regime_btc,OK,regime=REGIME_ROBUST
ma_gap_20_80,quantile_shape,OK,shape=NO_CLEAR_SHAPE
ma_gap_20_80,rolling_stability,OK,stability=
ma_gap_20_80,decile_shape,OK,shape=NONLINEAR_MIXED
ma_gap_20_80,capacity_liquidity,OK,class=
ma_gap_20_80,pairwise_redundancy,OK,77 pairs
ma_gap_20_80,cluster,OK,cluster=14
ma_gap_20_80,marginal_info,OK,novelty=HIGHLY_REDUNDANT
ma_gap_20_80,scorecard_not_stale,OK,"rankic=-0.021131, coverage=0.9937"
ma_gap_20_80,unified_profile,OK,score=44.0
ma_gap_20_80,ls_btc_corr,OK,ls_btc_corr=0.1284
ma_gap_20_80,source_metadata,OK,All source metadata present
ma_gap_5_20,factor_values,OK,factor_values.parquet exists
ma_gap_5_20,factor_level_rankic,OK,4 horizon(s)
ma_gap_5_20,period_ic,OK,100 rows
ma_gap_5_20,period_ls,OK,100 rows
ma_gap_5_20,ls_aggregate,MISSING,LS aggregate fields are NaN
ma_gap_5_20,cumulative_ls,OK,100 rows
ma_gap_5_20,paper_payload,OK,Present in payload
ma_gap_5_20,regime_btc,OK,regime=VOL_DEPENDENT
ma_gap_5_20,quantile_shape,OK,shape=NO_CLEAR_SHAPE
ma_gap_5_20,rolling_stability,OK,stability=
ma_gap_5_20,decile_shape,OK,shape=NONLINEAR_MIXED
ma_gap_5_20,capacity_liquidity,OK,class=
ma_gap_5_20,pairwise_redundancy,OK,77 pairs
ma_gap_5_20,cluster,OK,cluster=1
