factor_id,family,n_months,avg_long_count,avg_short_count,avg_turnover,median_turnover,p90_turnover,ref_volume_median_hourly,ref_volume_p10_hourly,volume_concentration_top5,capacity_risk_class,liquidity_risk_class,capacity_liquidity_class,flags,gross_sharpe,cost_sensitivity_class,paper_viability_class,regime_dependency_class,quantile_shape_class,stability_class,stability_score,decile_shape_class,final_quality_class,quality_score,novelty_assessment,participation_100000,p10_participation_100000,capacity_usd_100000,stress_capacity_usd_100000,participation_1000000,p10_participation_1000000,capacity_usd_1000000,stress_capacity_usd_1000000,participation_10000000,p10_participation_10000000,capacity_usd_10000000,stress_capacity_usd_10000000
qvol_ma_ratio_20_80,qvol_ma_ratio_20,25,36,36,0.065729,0.065497,0.07044,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.5493,COST_COLLAPSED,PAPER_MIXED,BULL_DEPENDENT,WEAK_MONOTONIC,STABLE_WEAK,70.0,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,51.0,NEEDS_REVIEW,2.3e-05,7.8e-05,221771718.26,63701588.75,0.000225,0.000785,221771718.26,63701588.75,0.002255,0.007849,221771718.26,63701588.75
qvol_ma_ratio_5_20,qvol_ma_ratio_5,25,36,36,0.215283,0.213782,0.224228,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.8706,COST_COLLAPSED,PAPER_MIXED,VOL_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,67.6,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,55.3,LIKELY_DISTINCT,7.4e-05,0.000257,67709856.77,19448942.74,0.000738,0.002571,67709856.77,19448942.74,0.007384,0.025708,67709856.77,19448942.74
qvol_zscore_20h,qvol_zscore,25,36,36,0.566214,0.565563,0.57825,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,2.1876,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,MIXED_SHAPE,STABLE_WEAK,66.4,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,54.9,HIGHLY_REDUNDANT,0.000194,0.000676,25744234.53,7394760.04,0.001942,0.006762,25744234.53,7394760.04,0.019422,0.067615,25744234.53,7394760.04
qvol_zscore_48h,qvol_zscore,25,36,36,0.510642,0.507899,0.525244,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,2.5852,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,WEAK_MONOTONIC,STABLE_WEAK,71.6,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,58.4,HIGHLY_REDUNDANT,0.000175,0.00061,28545937.95,8199519.82,0.001752,0.006098,28545937.95,8199519.82,0.017516,0.060979,28545937.95,8199519.82
range_1h,range,25,36,36,0.432964,0.428196,0.466985,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.7373,COST_COLLAPSED,PAPER_MIXED,BULL_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,58.6,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,69.4,HIGHLY_REDUNDANT,0.000149,0.000517,33667384.0,9670601.22,0.001485,0.00517,33667384.0,9670601.22,0.014851,0.051703,33667384.0,9670601.22
range_24h,range,25,36,36,0.068694,0.068347,0.076196,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.3184,COST_COLLAPSED,PAPER_MIXED,BULL_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,62.8,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,68.3,INSUFFICIENT_OVERLAP,2.4e-05,8.2e-05,212197768.36,60951572.54,0.000236,0.00082,212197768.36,60951572.54,0.002356,0.008203,212197768.36,60951572.54
range_4h,range,25,36,36,0.235191,0.232833,0.258882,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.5128,COST_COLLAPSED,PAPER_MIXED,VOL_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,57.8,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,71.2,MODERATELY_REDUNDANT,8.1e-05,0.000281,61978333.46,17802623.08,0.000807,0.002809,61978333.46,17802623.08,0.008067,0.028086,61978333.46,17802623.08
realized_kurt_20h,realized_kurt,25,36,36,0.172663,0.171059,0.180295,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-0.6286,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,VOL_DEPENDENT,WEAK_MONOTONIC,STABLE_WEAK,60.4,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,55.6,LIKELY_DISTINCT,5.9e-05,0.000206,84423201.62,24249674.9,0.000592,0.002062,84423201.62,24249674.9,0.005923,0.020619,84423201.62,24249674.9
realized_skew_20h,realized_skew,25,36,36,0.156421,0.155525,0.162394,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.9241,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,MIXED_SHAPE,STABLE_WEAK,63.6,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,60.5,LIKELY_DISTINCT,5.4e-05,0.000187,93189247.69,26767629.25,0.000537,0.001868,93189247.69,26767629.25,0.005365,0.018679,93189247.69,26767629.25
rev_10h,rev,25,36,36,0.245694,0.242634,0.25812,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-0.5642,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,VOL_DEPENDENT,NO_CLEAR_SHAPE,STABLE_POSITIVE,88.1,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,64.4,HIGHLY_REDUNDANT,8.4e-05,0.000293,59329026.99,17041637.72,0.000843,0.002934,59329026.99,17041637.72,0.008428,0.02934,59329026.99,17041637.72
