review_priority_rank,symbol,quality_flag,bar_count,bar_count_share,cumulative_bar_count_share,coverage_gate_98_reached_here,first_seen,last_seen,quote_volume_sum,quote_volume_share,cumulative_quote_volume_share,missing_sector,missing_industry,missing_subindustry,missing_group_count,coingecko_id,coingecko_map_status,coingecko_map_source,coingecko_mapping_notes,coingecko_primary_category,coingecko_categories,coingecko_category_count,coingecko_category_status,indneutralize_required_groups,blocked_alpha101_factor_count_if_approved,blocked_alpha101_factor_ids,review_packet_note,review_action
57,RIVERUSDT,REVIEW,5722,0.0017254382121541171,0.27583068753073897,False,2025-10-17T15:00:00Z,2026-06-13T00:00:00Z,67743325828.4907,0.0017596504401023972,0.8823521362255333,True,True,True,3,river,RESOLVED,auto,Auto: River,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
58,INJUSDT,REVIEW,17808,0.005369906270891387,0.28120059380163037,False,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,64855871507.1399,0.001684648065990974,0.8840367842915243,True,True,True,3,injective-protocol,RESOLVED,manual_override,,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
59,BOMEUSDT,REVIEW,17808,0.005369906270891387,0.28657050007252177,False,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,64085503609.14622,0.0016646375602449566,0.8857014218517693,True,True,True,3,book-of-meme,RESOLVED,manual_override,,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
60,PIPPINUSDT,REVIEW,12110,0.0036517051291832152,0.290222205201705,False,2025-01-24T11:00:00Z,2026-06-13T00:00:00Z,63577040354.71199,0.0016514300954726144,0.8873528519472419,True,True,True,3,pippin,RESOLVED,auto,Auto: pippin,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
61,POPCATUSDT,REVIEW,15827,0.004772546414498988,0.294994751616204,False,2024-08-22T14:00:00Z,2026-06-13T00:00:00Z,61678016909.1604,0.0016021024694539308,0.8889549544166958,True,True,True,3,popcat,RESOLVED,auto,Auto: Popcat,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
62,TURBOUSDT,REVIEW,17808,0.005369906270891387,0.3003646578870954,False,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,60676799224.09368,0.0015760955806775163,0.8905310499973733,True,True,True,3,turbo,RESOLVED,auto,Auto: Turbo,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
63,LDOUSDT,REVIEW,17808,0.005369906270891387,0.3057345641579868,False,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,58786601117.2765,0.0015269971951190275,0.8920580471924924,True,True,True,3,lido-dao,RESOLVED,manual_override,,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
64,PAXGUSDT,REVIEW,10622,0.003203006761534609,0.3089375709195214,False,2025-03-27T11:00:00Z,2026-06-13T00:00:00Z,57931644698.80273,0.0015047894806373887,0.8935628366731297,True,True,True,3,pax-gold,RESOLVED,auto,Auto: PAX Gold,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
65,ETHFIUSDT,REVIEW,17808,0.005369906270891387,0.3143074771904128,False,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,57913282276.31606,0.0015043125119557535,0.8950671491850855,True,True,True,3,ether-fi,RESOLVED,manual_override,,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
66,GALAUSDT,REVIEW,17808,0.005369906270891387,0.3196773834613042,False,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,56637533506.72129,0.0014711746071301034,0.8965383237922155,True,True,True,3,gala,RESOLVED,manual_override,,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
67,ZROUSDT,REVIEW,17338,0.005228180307991626,0.3249055637692958,False,2024-06-20T15:00:00Z,2026-06-13T00:00:00Z,54540158706.99398,0.0014166947532955922,0.8979550185455112,True,True,True,3,layerzero,RESOLVED,manual_override,,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
68,ENSUSDT,REVIEW,17808,0.005369906270891387,0.3302754700401872,False,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,53758857528.2089,0.0013964002527483,0.8993514187982595,True,True,True,3,ethereum-name-service,RESOLVED,manual_override,,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
69,KAITOUSDT,REVIEW,11459,0.00345539959333695,0.33373086963352416,False,2025-02-20T14:00:00Z,2026-06-13T00:00:00Z,53531321606.50151,0.0013904899482293696,0.9007419087464889,True,True,True,3,kaito,RESOLVED,auto,Auto: KAITO,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
70,JUPUSDT,REVIEW,17808,0.005369906270891387,0.33910077590441556,False,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,53205941671.0296,0.0013820381201023716,0.9021239468665913,True,True,True,3,jupiter-exchange-solana,RESOLVED,manual_override,,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
71,APEUSDT,REVIEW,17808,0.005369906270891387,0.34447068217530696,False,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,51356178872.4017,0.0013339900521505365,0.9034579369187418,True,True,True,3,apecoin,RESOLVED,manual_override,,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
72,ACTUSDT,REVIEW,13884,0.004186645252979336,0.3486573274282863,False,2024-11-11T13:00:00Z,2026-06-13T00:00:00Z,51187526313.35215,0.001329609258232811,0.9047875461769745,True,True,True,3,act-i-the-ai-prophecy,RESOLVED,auto_best_mcap,Best of 2: Act I The AI Prophecy,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
73,EIGENUSDT,REVIEW,14874,0.004485174408874578,0.3531425018371609,False,2024-10-01T07:00:00Z,2026-06-13T00:00:00Z,49288865383.05094,0.0012802910486416806,0.9060678372256162,True,True,True,3,eigenlayer,RESOLVED,manual_override,,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
74,SANDUSDT,REVIEW,17808,0.005369906270891387,0.3585124081080523,False,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,48087599449.58019,0.0012490878547822078,0.9073169250803984,True,True,True,3,the-sandbox,RESOLVED,manual_override,,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
75,DOGSUSDT,REVIEW,15732,0.004743899677317122,0.36325630778536944,False,2024-08-26T13:00:00Z,2026-06-13T00:00:00Z,47313802002.945564,0.0012289882656216756,0.9085459133460201,True,True,True,3,dogs-2,RESOLVED,auto,Auto: Dogs,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
76,GOATUSDT,REVIEW,14315,0.004316610976404437,0.3675729187617739,False,2024-10-24T14:00:00Z,2026-06-13T00:00:00Z,47144780418.68162,0.0012245978861783952,0.9097705112321984,True,True,True,3,goatseus-maximus,RESOLVED,auto,Auto: Goatseus Maximus,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
77,TRBUSDT,REVIEW,17808,0.005369906270891387,0.3729428250326653,False,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,47105200217.1243,0.0012235697801880573,0.9109940810123864,True,True,True,3,tellor,RESOLVED,manual_override,,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
78,IOUSDT,REVIEW,17554,0.005293313942005133,0.3782361389746704,False,2024-06-11T15:00:00Z,2026-06-13T00:00:00Z,45720976693.05298,0.001187614215510012,0.9121816952278965,True,True,True,3,io-net,RESOLVED,manual_override,,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
79,MOVEUSDT,REVIEW,13210,0.00398340419128904,0.38221954316595946,False,2024-12-09T15:00:00Z,2026-06-13T00:00:00Z,44320844206.44684,0.001151245411408251,0.9133329406393047,True,True,True,3,movement,RESOLVED,auto,Auto: Movement,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
80,ZENUSDT,REVIEW,17808,0.005369906270891387,0.38758944943685086,False,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,42938698969.3277,0.0011153438307722546,0.914448284470077,True,True,True,3,zencash,RESOLVED,auto,Auto: Horizen,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
81,IPUSDT,REVIEW,11623,0.0035048529080509093,0.3910943023449018,False,2025-02-13T18:00:00Z,2026-06-13T00:00:00Z,41763488199.5114,0.0010848174265393727,0.9155331018966163,True,True,True,3,,,,,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; missing coingecko mapping evidence; fill groups manually before OK,review_groups
82,1MBABYDOGEUSDT,REVIEW,15229,0.004592222742554186,0.39568652508745594,False,2024-09-16T12:00:00Z,2026-06-13T00:00:00Z,41152609533.077614,0.0010689496949053984,0.9166020515915217,True,True,True,3,baby-doge-coin,RESOLVED,manual_override,contract multiplier 1000000,,,0,,industry|sector|subindustry,18,wq101_alpha58_indneutralize_skipped|wq101_alpha59_indneutralize_skipped|wq101_alpha67_indneutralize_skipped|wq101_alpha69_indneutralize_skipped|wq101_alpha70_indneutralize_skipped|wq101_alpha93_indneutralize_skipped|wq101_alpha48_indneutralize_skipped|wq101_alpha63_indneutralize_skipped|wq101_alpha76_indneutralize_skipped|wq101_alpha79_indneutralize_skipped|wq101_alpha80_indneutralize_skipped|wq101_alpha82_indneutralize_skipped|wq101_alpha87_indneutralize_skipped|wq101_alpha89_indneutralize_skipped|wq101_alpha90_indneutralize_skipped|wq101_alpha91_indneutralize_skipped|wq101_alpha97_indneutralize_skipped|wq101_alpha100_indneutralize_skipped,review_only_not_approved; mapped coingecko id but no category evidence; fill groups manually before OK,review_groups
