factor_id,horizon,month,rank_ic,rolling_ic_3m,rolling_ic_6m,long_short_return,rolling_ls_3m,rolling_ls_6m
bb_zscore_20h,1h,2026-02,-0.027309,-0.034224,-0.033148,-0.00017718,-0.00011552,-0.00019708
bb_zscore_20h,1h,2026-03,-0.024052,-0.029139,-0.032245,-0.00024974,-0.00013158,-0.00018206
bb_zscore_20h,1h,2026-04,-0.027897,-0.026419,-0.031448,-0.00023959,-0.00022217,-0.00016255
bb_zscore_20h,1h,2026-05,-0.032702,-0.028217,-0.031221,0.00016071,-0.00010954,-0.00011253
bb_zscore_20h,1h,2026-06,-0.029391,-0.029997,-0.029568,-0.00012854,-6.914e-05,-0.00010036
bb_zscore_20h,24h,2024-06,0.014542,0.014542,0.014542,-0.00268423,-0.00268423,-0.00268423
bb_zscore_20h,24h,2024-07,-0.028055,-0.006757,-0.006757,0.00021574,-0.00123425,-0.00123425
bb_zscore_20h,24h,2024-08,-0.006912,-0.006809,-0.006809,0.00041135,-0.00068571,-0.00068571
bb_zscore_20h,24h,2024-09,-0.008909,-0.014626,-0.007334,-0.00161757,-0.00033016,-0.00091868
bb_zscore_20h,24h,2024-10,-0.044752,-0.020191,-0.014817,0.00298193,0.0005919,-0.00013856
bb_zscore_20h,24h,2024-11,-0.027049,-0.026903,-0.016856,-0.0027406,-0.00045875,-0.00057223
bb_zscore_20h,24h,2024-12,-0.037971,-0.03659,-0.025608,-9.188e-05,4.982e-05,-0.00014017
bb_zscore_20h,24h,2025-01,0.010811,-0.018069,-0.01913,-0.00533822,-0.00272357,-0.00106583
bb_zscore_20h,24h,2025-02,0.008541,-0.006206,-0.016555,-0.006607,-0.00401237,-0.00223556
bb_zscore_20h,24h,2025-03,-0.014853,0.0015,-0.017545,0.0003279,-0.00387244,-0.00191131
bb_zscore_20h,24h,2025-04,-0.020274,-0.008862,-0.013466,-0.00273582,-0.00300497,-0.00286427
bb_zscore_20h,24h,2025-05,-0.051121,-0.028749,-0.017478,0.00096608,-0.00048061,-0.00224649
bb_zscore_20h,24h,2025-06,-0.038656,-0.036684,-0.017592,0.00141061,-0.00011971,-0.00199607
bb_zscore_20h,24h,2025-07,-0.013186,-0.034321,-0.021591,-0.00079503,0.00052722,-0.00123888
bb_zscore_20h,24h,2025-08,-0.009581,-0.020474,-0.024612,-0.0041873,-0.00119057,-0.00083559
bb_zscore_20h,24h,2025-09,-0.031941,-0.018236,-0.02746,-0.00313134,-0.00270456,-0.00141213
bb_zscore_20h,24h,2025-10,-0.042567,-0.02803,-0.031175,-0.0012022,-0.00284028,-0.00115653
bb_zscore_20h,24h,2025-11,-0.034774,-0.036428,-0.028451,-0.00077863,-0.00170406,-0.00144732
bb_zscore_20h,24h,2025-12,-0.050376,-0.042573,-0.030404,0.00247932,0.00016616,-0.0012692
bb_zscore_20h,24h,2026-01,-0.024569,-0.036573,-0.032302,-0.00392499,-0.00074143,-0.00179086
bb_zscore_20h,24h,2026-02,-0.042458,-0.039134,-0.037781,1.098e-05,-0.00047823,-0.00109114
