factor_id,horizon,n_windows,window_ls_mean,window_ls_std,window_ls_win_rate,window_ls_ann_edge,window_ls_ann_vol,window_ls_sharpe,bars_per_year,overlap_warning,nonoverlap_available,nonoverlap_n_windows,nonoverlap_window_ls_win_rate
taker_buy_ratio_20h,4h,24,0.00024281,0.0005394544,0.625,0.5317539,0.0252450827,21.0636624582,2190.0,MODERATE_OVERLAP,True,24,0.625
taker_buy_ratio_20h,72h,24,0.0075971879,0.0197181943,0.6666666667,0.9243245278,0.2174968376,4.2498297362,121.66666666666667,VERY_HIGH_OVERLAP,True,8,0.75
taker_buy_zscore_20h,1h,24,-0.0001588342,0.0006594476,0.4583333333,-1.391387592,0.0617209135,-22.5432112625,8760.0,LOW_OVERLAP,True,24,0.4583333333
taker_buy_zscore_20h,24h,24,-0.000434525,0.002442282,0.5,-0.158601625,0.0466597321,-3.3991113511,365.0,HIGH_OVERLAP,True,24,0.5
taker_buy_zscore_20h,4h,24,-0.0005063342,0.0024771282,0.5,-1.108871898,0.115923248,-9.5655696107,2190.0,MODERATE_OVERLAP,True,24,0.5
taker_buy_zscore_20h,72h,24,0.0003764042,0.0007417299,0.6666666667,0.0457958443,0.0081814747,5.5975048599,121.66666666666667,VERY_HIGH_OVERLAP,True,8,0.625
tech_atr,1h,25,8.7712e-06,0.0001238438,0.48,0.076835712,0.0115911446,6.6288287202,8760.0,LOW_OVERLAP,True,25,0.48
tech_atr,24h,25,0.00032354,0.0031247289,0.52,0.1180921,0.0596978618,1.9781629763,365.0,HIGH_OVERLAP,True,25,0.52
tech_atr,4h,25,3.66844e-05,0.0004661089,0.52,0.080338836,0.0218127013,3.6831218088,2190.0,MODERATE_OVERLAP,True,25,0.52
tech_atr,72h,25,0.0015919496,0.0109351911,0.52,0.1936872013,0.1206180163,1.605789974,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.5555555556
tech_macd,1h,25,2.88952e-05,0.0001643889,0.6,0.253121952,0.015385958,16.4514911617,8760.0,LOW_OVERLAP,True,25,0.6
tech_macd,24h,25,0.0014994252,0.0042782271,0.64,0.547290198,0.081735414,6.6958760144,365.0,HIGH_OVERLAP,True,25,0.64
tech_macd,4h,25,0.000120408,0.000586758,0.52,0.26369352,0.0274587699,9.6032532204,2190.0,MODERATE_OVERLAP,True,25,0.52
tech_macd,72h,25,0.002394084,0.0067438142,0.6,0.29128022,0.0743860335,3.9157918001,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.3333333333
trend_efficiency_24h,1h,25,2.16652e-05,0.0002356556,0.56,0.189787152,0.0220561556,8.6047249179,8760.0,LOW_OVERLAP,True,25,0.56
trend_efficiency_24h,24h,25,0.0010711336,0.0031501146,0.68,0.390963764,0.0601828549,6.4962648325,365.0,HIGH_OVERLAP,True,25,0.68
trend_efficiency_24h,4h,25,0.0002126112,0.0008251488,0.6,0.465618528,0.038614848,12.0580178849,2190.0,MODERATE_OVERLAP,True,25,0.6
trend_efficiency_24h,72h,25,0.0024976412,0.0064530668,0.6,0.3038796793,0.0711790137,4.2692313881,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.4444444444
up_down_vol_ratio_20h,1h,25,8.75464e-05,0.0001868527,0.6,0.766906464,0.0174884545,43.8521577253,8760.0,LOW_OVERLAP,True,25,0.6
up_down_vol_ratio_20h,24h,25,0.0016029248,0.0038391172,0.56,0.585067552,0.0733462311,7.9767909416,365.0,HIGH_OVERLAP,True,25,0.56
up_down_vol_ratio_20h,4h,25,0.000353284,0.0006807098,0.6,0.77369196,0.0318554732,24.2875676518,2190.0,MODERATE_OVERLAP,True,25,0.6
up_down_vol_ratio_20h,72h,25,0.0040501348,0.0081292418,0.6,0.4927664007,0.0896676621,5.4954750602,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.4444444444
vol_40h,1h,25,-6.53848e-05,0.0002690897,0.52,-0.572770848,0.0251854159,-22.7421635393,8760.0,LOW_OVERLAP,True,25,0.52
vol_40h,24h,25,-0.0017451544,0.0061054491,0.36,-0.636981356,0.1166444413,-5.4608805104,365.0,HIGH_OVERLAP,True,25,0.36
vol_40h,4h,25,-0.0002459592,0.0010721831,0.52,-0.538650648,0.0501754198,-10.7353491005,2190.0,MODERATE_OVERLAP,True,25,0.52
vol_40h,72h,25,-0.0054753076,0.0194046436,0.4,-0.6661624247,0.2140382914,-3.1123516281,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.4444444444
vol_5h,1h,25,-2.63232e-05,0.0002682615,0.48,-0.230591232,0.0251079007,-9.1840108459,8760.0,LOW_OVERLAP,True,25,0.48
vol_5h,24h,25,-0.0015104332,0.0049630112,0.4,-0.551308118,0.0948181958,-5.8143704709,365.0,HIGH_OVERLAP,True,25,0.4
vol_5h,4h,25,-0.0002749116,0.0010174293,0.4,-0.602056404,0.0476130824,-12.6447684956,2190.0,MODERATE_OVERLAP,True,25,0.4
vol_5h,72h,25,-0.0047151128,0.015486321,0.4,-0.5736720573,0.1708181688,-3.3583784515,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.4444444444
vol_of_vol_20h,1h,25,-5.06788e-05,0.0002623707,0.4,-0.443946288,0.024556552,-18.078526991,8760.0,LOW_OVERLAP,True,25,0.4
vol_of_vol_20h,24h,25,-0.0015373128,0.0051583054,0.48,-0.561119172,0.0985492863,-5.693792346,365.0,HIGH_OVERLAP,True,25,0.48
vol_of_vol_20h,4h,25,-0.000195788,0.0009745151,0.44,-0.42877572,0.0456048079,-9.4019850136,2190.0,MODERATE_OVERLAP,True,25,0.44
vol_of_vol_20h,72h,25,-0.0054953224,0.0166553836,0.44,-0.6685975587,0.1837132349,-3.6393543393,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.5555555556
vol_ratio_20_80,1h,25,4.6384e-06,0.0001850642,0.6,0.040632384,0.01732106,2.3458370267,8760.0,LOW_OVERLAP,True,25,0.6
vol_ratio_20_80,24h,25,-0.000181136,0.0038128658,0.44,-0.06611464,0.0728446988,-0.9076108634,365.0,HIGH_OVERLAP,True,25,0.44
vol_ratio_20_80,4h,25,4.61356e-05,0.0007036046,0.52,0.101036964,0.0329268911,3.068524254,2190.0,MODERATE_OVERLAP,True,25,0.52
vol_ratio_20_80,72h,25,-0.000410226,0.007223505,0.4,-0.04991083,0.0796771484,-0.6264133568,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.2222222222
vol_ratio_5_20,1h,25,-1.17084e-05,0.000197142,0.36,-0.102565584,0.0184514802,-5.5586642891,8760.0,LOW_OVERLAP,True,25,0.36
vol_ratio_5_20,24h,25,-9.66924e-05,0.0014085482,0.56,-0.035292726,0.0269102756,-1.3114962684,365.0,HIGH_OVERLAP,True,25,0.56
vol_ratio_5_20,4h,25,0.0001170852,0.0005434399,0.52,0.256416588,0.0254315938,10.0825999955,2190.0,MODERATE_OVERLAP,True,25,0.52
vol_ratio_5_20,72h,25,0.0003409148,0.0035018821,0.44,0.0414779673,0.038626675,1.0738166659,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.2222222222
vol_ret_corr_20h,1h,25,5.4604e-05,0.0001679882,0.56,0.47833104,0.015722834,30.4226985694,8760.0,LOW_OVERLAP,True,25,0.56
vol_ret_corr_20h,24h,25,0.001320528,0.0036131527,0.56,0.48199272,0.0690291854,6.9824483245,365.0,HIGH_OVERLAP,True,25,0.56
vol_ret_corr_20h,4h,25,0.0002009128,0.0006318803,0.6,0.439999032,0.0295703778,14.8797230502,2190.0,MODERATE_OVERLAP,True,25,0.6
vol_ret_corr_20h,72h,25,0.002121118,0.0070096092,0.64,0.2580693567,0.0773178218,3.3377732401,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.7777777778
vol_zscore_20h,1h,25,7.02368e-05,0.000182696,0.68,0.615274368,0.0170994087,35.982201479,8760.0,LOW_OVERLAP,True,25,0.68
vol_zscore_20h,24h,25,0.00040957,0.001364912,0.6,0.14949305,0.0260766071,5.7328412843,365.0,HIGH_OVERLAP,True,25,0.6
vol_zscore_20h,4h,25,0.0001548176,0.0004900237,0.56,0.339050544,0.0229318527,14.7851352923,2190.0,MODERATE_OVERLAP,True,25,0.56
vol_zscore_20h,72h,25,0.0010035172,0.0044998618,0.6,0.1220945927,0.0496346519,2.4598659987,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.3333333333
vol_zscore_48h,1h,25,7.39784e-05,0.0001822163,0.72,0.648050784,0.0170545112,37.9987896428,8760.0,LOW_OVERLAP,True,25,0.72
vol_zscore_48h,24h,25,0.0004999936,0.0024240797,0.6,0.182497664,0.0463119776,3.940614789,365.0,HIGH_OVERLAP,True,25,0.6
vol_zscore_48h,4h,25,0.0001783292,0.0005334251,0.72,0.390540948,0.0249629269,15.6448380346,2190.0,MODERATE_OVERLAP,True,25,0.72
vol_zscore_48h,72h,25,0.0016173116,0.0068548046,0.64,0.1967729113,0.0756102866,2.6024621798,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.5555555556
volatility_20h,1h,25,-6.69004e-05,0.0002862775,0.44,-0.586047504,0.0267941059,-21.8722545489,8760.0,LOW_OVERLAP,True,25,0.44
volatility_20h,24h,25,-0.0018481528,0.0056518726,0.4,-0.674575772,0.1079788744,-6.2472939794,365.0,HIGH_OVERLAP,True,25,0.4
