factor_id,horizon,horizon_hours,overlap_warning,return_robust_class,return_mean,naive_t_stat,robust_t_stat,robust_standard_error,nw_lag,n_periods,effective_n_proxy,tstat_inflation_ratio,bootstrap_mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_sign_consistency,status
mom_72h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.00119,1.279976,1.408784,0.000845,5,25,30.28484,0.908568,0.00115,-0.000513,0.002763,0.904,COMPUTED
mom_72h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.004813,1.574631,1.637574,0.002939,5,25,27.038621,0.961563,0.006407,0.001034,0.011811,0.9925,COMPUTED
mom_accel_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,1e-06,0.011159,0.01242,4.1e-05,1,25,30.967463,0.898498,9e-06,-7e-05,9.4e-05,0.583,COMPUTED
mom_accel_20h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000149,0.830848,0.913838,0.000163,4,25,30.243752,0.909185,0.000234,-6.2e-05,0.000558,0.9275,COMPUTED
mom_accel_20h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000485,1.011152,0.861465,0.000563,5,25,18.146054,1.173759,0.00048,-0.00061,0.0017,0.7895,COMPUTED
mom_accel_20h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001117,1.790282,1.778208,0.000628,5,25,24.66393,1.00679,0.001152,8.8e-05,0.002672,0.9895,COMPUTED
mom_vol_adjusted_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_POSITIVE,0.000111,2.292873,2.333352,4.7e-05,1,25,25.890497,0.982652,0.000109,3e-06,0.000229,0.976,COMPUTED
mom_vol_adjusted_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000481,2.637566,2.970039,0.000162,4,25,31.699893,0.888058,0.000459,0.00017,0.000805,1.0,COMPUTED
mom_vol_adjusted_20h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.002226,2.260724,2.786199,0.000799,5,25,37.972489,0.811401,0.001639,0.00028,0.003045,0.994,COMPUTED
mom_vol_adjusted_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.005606,2.823157,3.337321,0.00168,5,25,34.93541,0.845935,0.005278,0.0018,0.008688,0.999,COMPUTED
price_pos_120h,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_POSITIVE,8.2e-05,2.050676,2.201304,3.7e-05,1,25,28.807511,0.931574,7.8e-05,-1e-06,0.00016,0.9735,COMPUTED
price_pos_120h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000356,2.254776,2.182482,0.000163,4,25,23.422572,1.033125,0.000331,-1e-06,0.000666,0.974,COMPUTED
price_pos_120h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.001885,2.182953,2.224618,0.000847,5,25,25.963453,0.981271,0.00166,-9e-05,0.003377,0.967,COMPUTED
price_pos_120h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.00503,1.937853,2.672754,0.001882,5,25,47.557189,0.72504,0.005643,0.000957,0.009498,0.9925,COMPUTED
price_pos_24h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,7.1e-05,1.770237,1.845427,3.8e-05,1,25,27.168807,0.959256,6.3e-05,-2.5e-05,0.000156,0.913,COMPUTED
price_pos_24h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.00033,2.495786,2.694666,0.000122,4,25,29.143057,0.926195,0.000322,7.2e-05,0.000562,0.994,COMPUTED
price_pos_24h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001508,1.836676,1.863876,0.000809,5,25,25.745969,0.985406,0.000893,-0.000131,0.002172,0.944,COMPUTED
price_pos_24h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.004155,2.38423,2.793924,0.001487,5,25,34.329915,0.853363,0.003532,0.000454,0.006471,0.9895,COMPUTED
price_pos_72h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,7.4e-05,1.629221,1.740599,4.3e-05,1,25,28.534967,0.936012,6.5e-05,-2.3e-05,0.000158,0.9185,COMPUTED
price_pos_72h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.00033,1.942447,2.097117,0.000158,4,25,29.139828,0.926246,0.000307,-8e-06,0.000616,0.973,COMPUTED
price_pos_72h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.001813,1.993986,2.021196,0.000897,5,25,25.686974,0.986537,0.001418,-0.000313,0.003185,0.9445,COMPUTED
price_pos_72h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.005113,2.202694,2.87826,0.001776,5,25,42.686595,0.765287,0.005223,0.000831,0.009051,0.992,COMPUTED
price_volume_corr_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,5.7e-05,1.73997,1.841581,3.1e-05,1,25,28.005146,0.944824,4e-05,-3e-06,9.4e-05,0.959,COMPUTED
price_volume_corr_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000237,1.818353,2.342776,0.000101,4,25,41.49972,0.776153,0.000171,3.4e-05,0.000349,0.9955,COMPUTED
price_volume_corr_20h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001259,1.59427,1.761368,0.000715,5,25,30.515217,0.905132,0.000718,-0.000257,0.001856,0.919,COMPUTED
price_volume_corr_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.002814,1.956188,2.001436,0.001406,5,25,26.169901,0.977392,0.003048,0.000335,0.005982,0.9905,COMPUTED
q158_beta_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_POSITIVE,0.00014,3.682874,4.174068,3.3e-05,1,25,32.113334,0.882322,0.000134,7.4e-05,0.0002,1.0,COMPUTED
q158_beta_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000489,3.040371,3.756783,0.00013,4,25,38.169729,0.809302,0.000434,0.000218,0.000688,1.0,COMPUTED
q158_beta_20h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001537,1.816702,1.967918,0.000781,5,25,29.335018,0.92316,0.000825,-9.5e-05,0.001952,0.964,COMPUTED
q158_beta_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.004371,2.324142,2.648391,0.00165,5,25,32.462269,0.877568,0.004073,0.000955,0.007476,0.9985,COMPUTED
q158_cntd_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,3.7e-05,0.905419,0.974971,3.8e-05,1,25,28.98838,0.928663,3.7e-05,-4.2e-05,0.000128,0.7745,COMPUTED
q158_cntd_20h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000305,1.93798,1.709959,0.000178,4,25,19.463125,1.133349,0.000321,-8e-06,0.000708,0.9715,COMPUTED
q158_cntd_20h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.001665,2.380515,3.481857,0.000478,5,25,53.483512,0.683691,0.001432,0.00042,0.002466,0.9995,COMPUTED
q158_cntd_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.004103,2.559001,3.178033,0.001291,5,25,38.558132,0.805215,0.004029,0.001338,0.00699,0.999,COMPUTED
q158_cntn_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,2.5e-05,0.612362,0.634739,4e-05,1,25,26.860455,0.964747,2.9e-05,-5.3e-05,0.000125,0.7005,COMPUTED
q158_cntn_20h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000254,1.591412,1.449528,0.000176,4,25,20.740916,1.097883,0.000282,-4e-05,0.000665,0.9425,COMPUTED
q158_cntn_20h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.001572,2.248427,3.228335,0.000487,5,25,51.539405,0.696467,0.001392,0.000302,0.002478,0.9965,COMPUTED
q158_cntn_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.004142,2.686853,3.42831,0.001208,5,25,40.701691,0.783725,0.004228,0.001803,0.006981,1.0,COMPUTED
q158_cntp_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,4.8e-05,1.229289,1.25109,3.9e-05,1,25,25.894577,0.982575,5e-05,-3.5e-05,0.000147,0.8525,COMPUTED
q158_cntp_20h,4h,4,MODERATE_OVERLAP,NAIVE_ONLY_RETURN_SIGNIFICANT,0.000334,2.127902,1.889172,0.000177,4,25,19.705168,1.126367,0.000345,2.6e-05,0.000724,0.9845,COMPUTED
q158_cntp_20h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.001631,2.381053,3.459279,0.000471,5,25,52.768286,0.688309,0.001365,0.000414,0.002356,0.999,COMPUTED
q158_cntp_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.003887,2.309401,2.72302,0.001427,5,25,34.757054,0.848103,0.003651,0.000626,0.006913,0.9945,COMPUTED
q158_cord_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,5.5e-05,1.712663,1.800734,3.1e-05,1,25,27.637294,0.951091,4.1e-05,2e-06,9.3e-05,0.9825,COMPUTED
q158_cord_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000214,1.713031,2.393979,9e-05,4,25,48.825908,0.715558,0.000161,3.1e-05,0.000318,0.996,COMPUTED
q158_cord_20h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001248,1.586048,1.768204,0.000706,5,25,31.072183,0.896983,0.000744,-0.000281,0.001934,0.9055,COMPUTED
q158_cord_20h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.002595,1.85075,1.975809,0.001313,5,25,28.492754,0.936705,0.002864,0.000405,0.005614,0.989,COMPUTED
q158_corr_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,5.5e-05,1.429155,1.466553,3.8e-05,1,25,26.325517,0.974499,3.9e-05,-1.8e-05,9e-05,0.9085,COMPUTED
q158_corr_20h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000122,0.815401,0.837083,0.000145,4,25,26.347217,0.974098,4.2e-05,-0.000233,0.000329,0.6065,COMPUTED
q158_corr_20h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001056,1.526409,1.862313,0.000567,5,25,37.213758,0.819631,0.000703,-0.000338,0.001825,0.898,COMPUTED
q158_corr_20h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.002536,1.452968,1.8364,0.001381,5,25,39.935813,0.791204,0.002663,-5.9e-05,0.005701,0.9725,COMPUTED
q158_high_low_range,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000111,1.885707,1.543309,7.2e-05,1,25,16.745469,1.22186,9.2e-05,-6.5e-05,0.000239,0.8785,COMPUTED
q158_high_low_range,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000382,1.723462,1.336968,0.000285,4,25,15.044523,1.289083,0.00035,-0.00023,0.000927,0.8765,COMPUTED
q158_high_low_range,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001903,1.671013,1.291298,0.001474,5,25,14.929093,1.294057,0.001853,-0.000968,0.004723,0.8895,COMPUTED
q158_high_low_range,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.005503,1.551005,1.300193,0.004232,5,25,17.568279,1.192904,0.005888,-0.002073,0.014412,0.9145,COMPUTED
q158_imax_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_NEGATIVE,-8.4e-05,-2.192317,-2.126596,4e-05,1,25,23.523565,1.030904,-7.7e-05,-0.000169,1.3e-05,0.946,COMPUTED
q158_imax_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000303,-2.063395,-2.614523,0.000116,4,25,40.13842,0.789205,-0.000262,-0.000485,-5.2e-05,0.994,COMPUTED
q158_imax_20h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.001366,-1.927165,-2.077881,0.000657,5,25,29.063219,0.927466,-0.0008,-0.001764,-7.3e-05,0.989,COMPUTED
q158_imax_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.003981,-3.352597,-3.544631,0.001123,5,25,27.945981,0.945824,-0.003619,-0.005657,-0.001604,1.0,COMPUTED
q158_imin_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_POSITIVE,8.1e-05,2.160973,2.031758,4e-05,1,25,22.099646,1.063598,9.2e-05,5e-06,0.000174,0.981,COMPUTED
q158_imin_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000385,2.615736,2.267822,0.00017,4,25,18.791884,1.153413,0.000382,9.1e-05,0.000677,0.996,COMPUTED
q158_imin_20h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.001406,2.693912,3.03122,0.000464,5,25,31.652509,0.888722,0.001202,0.000456,0.001969,1.0,COMPUTED
q158_imin_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.002926,2.041112,2.591971,0.001129,5,25,40.31502,0.787475,0.002501,0.000132,0.00507,0.981,COMPUTED
q158_imxd_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000105,-2.614445,-2.695769,3.9e-05,1,25,26.579465,0.969833,-0.000105,-0.000202,-2.1e-05,0.9975,COMPUTED
q158_imxd_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000427,-2.661395,-2.90441,0.000147,4,25,29.774006,0.916329,-0.000391,-0.000677,-0.000135,1.0,COMPUTED
q158_imxd_20h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.001658,-2.293595,-2.53576,0.000654,5,25,30.557854,0.9045,-0.001151,-0.002138,-0.000325,0.9995,COMPUTED
q158_imxd_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.004524,-3.19962,-3.460794,0.001307,5,25,29.247905,0.924533,-0.004025,-0.006496,-0.001628,1.0,COMPUTED
q158_klen_open,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000112,1.942694,1.5869,7.1e-05,1,25,16.681319,1.224207,9.4e-05,-6.2e-05,0.000241,0.8815,COMPUTED
q158_klen_open,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000392,1.790418,1.39557,0.000281,4,25,15.189184,1.282929,0.000362,-0.000206,0.000931,0.885,COMPUTED
q158_klen_open,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001932,1.691447,1.307145,0.001478,5,25,14.930381,1.294001,0.001889,-0.00094,0.004776,0.8955,COMPUTED
q158_klen_open,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.00551,1.550885,1.303429,0.004227,5,25,17.65856,1.18985,0.005893,-0.00206,0.014432,0.9155,COMPUTED
q158_klow_open,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,-4.9e-05,-1.375194,-1.199529,4e-05,1,25,19.020994,1.146445,-3.1e-05,-8.9e-05,4.1e-05,0.824,COMPUTED
q158_klow_open,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000101,0.785793,0.600319,0.000168,4,25,14.59112,1.308958,0.000103,-0.00022,0.000447,0.705,COMPUTED
q158_klow_open,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001134,1.547752,1.114961,0.001017,5,25,12.973474,1.388167,0.00114,-0.000728,0.003127,0.8605,COMPUTED
q158_klow_open,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.003142,1.36553,1.118108,0.00281,5,25,16.761185,1.221287,0.003265,-0.001944,0.00892,0.872,COMPUTED
q158_ksft_open,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000189,-4.028522,-4.19558,4.5e-05,1,25,27.116431,0.960182,-0.000174,-0.000232,-0.000108,1.0,COMPUTED
q158_ksft_open,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,-0.000113,-0.93042,-1.289043,8.7e-05,4,25,47.986273,0.721791,-6.9e-05,-0.000219,7.9e-05,0.805,COMPUTED
q158_ksft_open,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000261,1.056224,1.070177,0.000244,5,25,25.664876,0.986962,0.000233,-0.00026,0.000745,0.81,COMPUTED
q158_ksft_open,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000723,1.311122,2.073745,0.000348,5,25,62.540954,0.632248,0.000643,-0.000134,0.001427,0.9455,COMPUTED
q158_ksft_range,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000241,-5.01551,-5.098397,4.7e-05,1,25,25.833136,0.983743,-0.000235,-0.000329,-0.000145,1.0,COMPUTED
q158_ksft_range,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,-0.000177,-1.78423,-1.941551,9.1e-05,4,25,29.60302,0.918971,-0.000172,-0.000375,4e-06,0.971,COMPUTED
q158_ksft_range,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000196,0.984867,1.117573,0.000175,5,25,32.191173,0.881255,0.000145,-0.000189,0.000516,0.7715,COMPUTED
q158_ksft_range,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000344,0.805099,1.034723,0.000332,5,25,41.29421,0.778082,0.000143,-0.000485,0.000814,0.658,COMPUTED
q158_kup_open,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000252,-4.093551,-3.441494,7.3e-05,1,25,17.669883,1.189469,-0.00022,-0.000386,-5e-05,0.994,COMPUTED
q158_kup_open,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000465,-2.998321,-2.448401,0.00019,4,25,16.670509,1.224604,-0.000455,-0.000834,-8.4e-05,0.9915,COMPUTED
q158_kup_open,24h,24,HIGH_OVERLAP,NAIVE_ONLY_RETURN_SIGNIFICANT,-0.001695,-2.111109,-1.520816,0.001114,5,25,12.973944,1.388142,-0.001608,-0.00385,0.000448,0.921,COMPUTED
q158_kup_open,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,-0.004637,-1.888593,-1.481872,0.003129,5,25,15.391637,1.274464,-0.004823,-0.011489,0.001048,0.9325,COMPUTED
q158_ma_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,-5.9e-05,-1.54955,-1.563757,3.8e-05,1,25,25.460531,0.990915,-5.6e-05,-0.00013,2e-05,0.926,COMPUTED
q158_ma_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000366,-2.679764,-3.708784,9.9e-05,4,25,47.886141,0.722545,-0.000369,-0.000563,-0.000161,1.0,COMPUTED
q158_ma_20h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.001546,-2.075806,-2.322165,0.000666,5,25,31.286191,0.89391,-0.001013,-0.00201,-0.000238,0.998,COMPUTED
q158_ma_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.004305,-2.425801,-2.778575,0.001549,5,25,32.799994,0.873038,-0.004073,-0.00729,-0.001121,0.9995,COMPUTED
q158_max_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,8e-06,0.152272,0.129823,5.9e-05,1,25,18.171986,1.172921,-6e-06,-0.000117,0.000104,0.465,COMPUTED
q158_max_20h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,9e-06,0.053601,0.046239,0.000194,4,25,18.604438,1.159209,1.1e-05,-0.00039,0.000408,0.53,COMPUTED
q158_max_20h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.00057,0.566728,0.50808,0.001122,5,25,20.093456,1.115431,0.001105,-0.00104,0.003203,0.8335,COMPUTED
q158_max_20h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000708,0.282961,0.285029,0.002484,5,25,25.366841,0.992743,0.001576,-0.003225,0.006656,0.729,COMPUTED
q158_min_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,-6.2e-05,-1.190094,-1.057174,5.8e-05,1,25,19.727425,1.125731,-6.6e-05,-0.000224,8.6e-05,0.779,COMPUTED
q158_min_20h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,-0.000392,-1.884294,-1.394141,0.000281,4,25,13.685355,1.351581,-0.000435,-0.000994,0.000106,0.9425,COMPUTED
q158_min_20h,24h,24,HIGH_OVERLAP,NAIVE_ONLY_RETURN_SIGNIFICANT,-0.00231,-2.55837,-1.968352,0.001174,5,25,14.798537,1.299752,-0.002166,-0.004158,-0.000263,0.9885,COMPUTED
q158_min_20h,72h,72,SEVERE_OVERLAP,NAIVE_ONLY_RETURN_SIGNIFICANT,-0.006458,-2.214897,-1.811299,0.003565,5,25,16.719118,1.222822,-0.006618,-0.013616,-0.000197,0.9785,COMPUTED
q158_qtld_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,-6.2e-05,-1.461478,-1.517043,4.1e-05,1,25,26.937126,0.963373,-5.4e-05,-0.000151,3.4e-05,0.854,COMPUTED
q158_qtld_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000365,-2.409031,-2.255629,0.000162,4,25,21.917476,1.068009,-0.000373,-0.000695,-6.8e-05,0.9945,COMPUTED
q158_qtld_20h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.001685,-2.384206,-2.222099,0.000758,5,25,21.715968,1.072952,-0.00131,-0.002544,-0.000275,0.9975,COMPUTED
q158_qtld_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.004735,-2.244813,-2.200044,0.002152,5,25,24.012781,1.020349,-0.004614,-0.008999,-0.000528,0.991,COMPUTED
q158_qtlu_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,-4.6e-05,-1.049573,-1.059425,4.3e-05,1,25,25.471515,0.990701,-4e-05,-0.000107,3.7e-05,0.842,COMPUTED
q158_qtlu_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000277,-1.953809,-3.487452,7.9e-05,4,25,79.651163,0.56024,-0.000259,-0.000408,-7.8e-05,0.999,COMPUTED
q158_qtlu_20h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.001387,-1.723086,-2.217868,0.000626,5,25,41.4188,0.776911,-0.000794,-0.001695,3.2e-05,0.9675,COMPUTED
q158_qtlu_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.003966,-2.499114,-3.738805,0.001061,5,25,55.954315,0.668426,-0.003517,-0.005693,-0.001322,1.0,COMPUTED
q158_rank_close_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,2.5e-05,0.649375,0.632376,3.9e-05,1,25,23.708313,1.02688,2.4e-05,-6.5e-05,0.000114,0.6905,COMPUTED
q158_rank_close_20h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000244,1.822297,1.991517,0.000122,4,25,29.858627,0.915029,0.000265,1.1e-05,0.000516,0.981,COMPUTED
q158_rank_close_20h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.001716,2.592623,3.128368,0.000549,5,25,36.399617,0.828746,0.001347,0.000611,0.002144,1.0,COMPUTED
q158_rank_close_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.004281,2.936002,3.250534,0.001317,5,25,30.643393,0.903237,0.003835,0.001365,0.006327,0.9995,COMPUTED
q158_resi_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,-4.7e-05,-0.766008,-0.811913,5.8e-05,1,25,28.086191,0.94346,-3.3e-05,-0.000119,5.3e-05,0.7585,COMPUTED
q158_resi_20h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,-4.6e-05,-0.250839,-0.333421,0.000138,4,25,44.170656,0.752321,3.2e-05,-0.000214,0.000269,0.407,COMPUTED
q158_resi_20h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000592,1.677318,1.277734,0.000463,5,25,14.50742,1.312728,0.000809,-7e-05,0.001706,0.958,COMPUTED
q158_resi_20h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001054,1.740739,1.620807,0.00065,5,25,21.673809,1.073995,0.001096,-6.3e-05,0.00262,0.9605,COMPUTED
q158_roc_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000125,-2.658429,-2.593205,4.8e-05,1,25,23.788305,1.025152,-0.000115,-0.000238,-6e-06,0.9795,COMPUTED
q158_roc_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000562,-3.044582,-2.934399,0.000192,4,25,23.223243,1.037549,-0.000524,-0.00092,-0.000195,1.0,COMPUTED
q158_roc_20h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,-0.001598,-1.789869,-1.986975,0.000804,5,25,30.809316,0.900801,-0.000906,-0.002128,0.000136,0.95,COMPUTED
q158_roc_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.004714,-2.303457,-2.463373,0.001914,5,25,28.591715,0.935082,-0.004508,-0.008502,-0.000789,0.9965,COMPUTED
q158_rsqr_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,4.3e-05,1.082542,1.097949,3.9e-05,1,25,25.716683,0.985967,3.4e-05,-4e-05,0.000126,0.7715,COMPUTED
q158_rsqr_20h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000145,0.932627,0.80633,0.00018,4,25,18.687443,1.156632,0.000107,-0.000226,0.000511,0.7045,COMPUTED
q158_rsqr_20h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000712,1.337473,1.271543,0.00056,5,25,22.596018,1.051851,0.000792,-0.00026,0.002122,0.915,COMPUTED
q158_rsqr_20h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000999,0.801672,0.875665,0.001141,5,25,29.827896,0.915501,0.000586,-0.001804,0.003014,0.689,COMPUTED
q158_rsv_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,4.3e-05,1.091778,1.093649,3.9e-05,1,25,25.085752,0.998289,4.5e-05,-4.6e-05,0.000139,0.818,COMPUTED
q158_rsv_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000278,2.058395,2.475374,0.000112,4,25,36.154657,0.831549,0.000298,6.3e-05,0.000528,0.993,COMPUTED
