factor,label,symbol,mean_forward_return,mean_factor_exposure,n_q5,n_q1,spread_contribution
reversal_5h,ret_fwd_1h,AIOUSDT,0.0002891144897976961,-0.001471030502321628,1452,1447,0.0008055337003372191
reversal_5h,ret_fwd_1h,ALLOUSDT,0.00043876455753790334,-0.002409771630209856,1398,1252,-0.0010121270334710764
reversal_5h,ret_fwd_1h,ARBUSDT,-0.00016781075502385524,0.0008523543457829796,618,544,-0.00018204741807599612
reversal_5h,ret_fwd_1h,AVAXUSDT,-0.00013081494722457909,0.0006529561193109564,240,229,0.0005170361906408346
reversal_5h,ret_fwd_1h,BCHUSDT,-0.00021062758536178746,0.0010717667995227107,645,631,0.0003453778162618139
reversal_5h,ret_fwd_1h,BEATUSDT,0.0007635555553716015,-0.004006175715734176,1746,1773,0.0003140514685854793
reversal_5h,ret_fwd_1h,BNBUSDT,-7.601683605231451e-05,0.0003843873945513272,234,261,0.0006205527794434326
reversal_5h,ret_fwd_1h,BTCUSDT,-6.634266090473603e-05,0.0003317027771379348,192,226,0.000532669158781932
reversal_5h,ret_fwd_1h,CHZUSDT,1.2056556337963514e-05,-4.892694332623393e-05,1086,1043,0.0005659888772913605
reversal_5h,ret_fwd_1h,CRVUSDT,-6.127549178762535e-05,0.00031753921335164336,769,744,0.0012423505223985109
reversal_5h,ret_fwd_1h,DOGEUSDT,-7.54110477628751e-05,0.00038522117027011424,310,304,-0.0012633785162383024
reversal_5h,ret_fwd_1h,DOTUSDT,-0.00013338430051701715,0.0006625109109729424,472,407,-0.00031716344871279893
reversal_5h,ret_fwd_1h,ENAUSDT,-0.00018933970823021315,0.0009961010761191397,1019,728,0.0004764469833883936
reversal_5h,ret_fwd_1h,EPICUSDT,0.00017703648467093876,-0.0008253731083290584,1234,1170,0.0008222522632813004
reversal_5h,ret_fwd_1h,ESPORTSUSDT,0.0004318882695277895,-0.0023004616673396494,1500,1415,-6.0862732633145897e-05
reversal_5h,ret_fwd_1h,ETHUSDT,-0.00012286727198986637,0.0006056483501075652,274,293,0.0007522830743961083
reversal_5h,ret_fwd_1h,FILUSDT,-8.180019098933814e-05,0.00039987690011911717,636,617,-0.0002963547373164432
reversal_5h,ret_fwd_1h,HMSTRUSDT,0.0001738153919990303,-0.0010053477278768794,844,789,-1.832543752745521e-05
reversal_5h,ret_fwd_1h,HOMEUSDT,0.000178596144377949,-0.0008884567947734741,1308,1266,5.227513281267195e-05
reversal_5h,ret_fwd_1h,HUSDT,0.0007141007560958194,-0.003987183441336153,1540,1620,-0.0017924918471817926
reversal_5h,ret_fwd_1h,HYPEUSDT,0.0002209993164771851,-0.0010781764893559107,1043,1140,-0.0004515522689265256
reversal_5h,ret_fwd_1h,IDUSDT,-0.00013913183440069407,0.000661409164284523,835,647,-0.000904122456888746
reversal_5h,ret_fwd_1h,INJUSDT,6.07467939067847e-05,-0.0002988888655991831,666,696,0.0005259229556831738
reversal_5h,ret_fwd_1h,LABUSDT,0.001809446265435618,-0.007986961054030885,1499,1807,0.0007657597945583705
reversal_5h,ret_fwd_1h,LINKUSDT,-0.00010003094081725333,0.0005048206222012964,146,170,0.000675834298707322
reversal_5h,ret_fwd_1h,LTCUSDT,-0.00012440869804772347,0.0006316306829383419,210,228,0.0013595847588511664
reversal_5h,ret_fwd_1h,NEARUSDT,0.00011472790461315141,-0.0005703613336028051,736,774,0.0005458553710551222
reversal_5h,ret_fwd_1h,ONDOUSDT,3.838891157506434e-06,-9.536565947812685e-06,661,638,6.610378882125506e-05
reversal_5h,ret_fwd_1h,PAXGUSDT,-1.426949851023996e-06,2.7635210398056415e-06,694,809,6.9173127855779e-05
