factor,label,month,IC_mean,RankIC_mean,spread_mean,spread_t,n_timestamps
mom_6h,ret_fwd_4h,2026-01,-0.013670176841894558,-0.022542434072784077,,,744
mom_6h,ret_fwd_4h,2026-02,-0.007053112112056942,-0.0027604855144240407,,,672
mom_6h,ret_fwd_4h,2026-03,0.019323476979073745,-0.03397306430983838,,,744
mom_6h,ret_fwd_4h,2026-04,-0.031469495261307844,-0.03643668694079982,,,720
mom_6h,ret_fwd_4h,2026-05,0.025272362121754578,-0.02057153709900867,,,744
mom_6h,ret_fwd_4h,2026-06,0.058111510342692844,0.007660425126910006,,,273
mom_6h,ret_fwd_24h,2025-12,0.012925934202728528,-0.026204067500667293,,,413
mom_6h,ret_fwd_24h,2026-01,-0.02247506747615485,-0.02568227304318382,,,744
mom_6h,ret_fwd_24h,2026-02,-0.05427671878873127,-0.037684246620262915,,,672
mom_6h,ret_fwd_24h,2026-03,0.017871124035210795,-0.012649720971884328,,,744
mom_6h,ret_fwd_24h,2026-04,-0.009479937369787474,-0.051193820524868275,,,720
mom_6h,ret_fwd_24h,2026-05,0.013642448541316987,0.01841784322479374,,,744
mom_6h,ret_fwd_24h,2026-06,0.07561976204525012,0.09177712138078153,,,253
mom_6h,ret_fwd_72h,2025-12,0.008992393503392104,-0.01029866482926683,,,413
mom_6h,ret_fwd_72h,2026-01,0.015501633207572122,0.019727323710104647,,,744
mom_6h,ret_fwd_72h,2026-02,-0.02161518788151158,-0.018607539737726914,,,672
mom_6h,ret_fwd_72h,2026-03,-0.005131133867544719,-0.017473395887796336,,,744
mom_6h,ret_fwd_72h,2026-04,-0.03306757306014196,-0.01809580351789411,,,720
mom_6h,ret_fwd_72h,2026-05,0.022465610624762034,0.03258133477230649,,,744
mom_6h,ret_fwd_72h,2026-06,0.10000287884908174,0.04940055923404105,,,205
mom_12h,ret_fwd_1h,2025-12,0.032171420446896234,-0.02202184345505233,,,407
mom_12h,ret_fwd_1h,2026-01,-0.012580069036472982,-0.02664425576505121,,,744
mom_12h,ret_fwd_1h,2026-02,-0.008066578513835018,-0.010231491739445422,,,672
mom_12h,ret_fwd_1h,2026-03,0.02990920017786394,-0.01613989482363962,,,744
mom_12h,ret_fwd_1h,2026-04,-0.002847203835098286,-0.022154782753671155,,,720
mom_12h,ret_fwd_1h,2026-05,0.027699607663306546,-0.007196048292896391,,,744
mom_12h,ret_fwd_1h,2026-06,0.024590657775856638,0.019186938310403103,,,276
mom_12h,ret_fwd_4h,2025-12,0.01601086363962766,-0.052078701599716316,,,407
mom_12h,ret_fwd_4h,2026-01,-0.02059221769896621,-0.021962976287709084,,,744
mom_12h,ret_fwd_4h,2026-02,-0.027565327147307264,-0.017722775401177553,,,672
mom_12h,ret_fwd_4h,2026-03,0.03822198941335743,-0.023069332487927204,,,744
mom_12h,ret_fwd_4h,2026-04,-0.012766799587527109,-0.030490562047914307,,,720
mom_12h,ret_fwd_4h,2026-05,0.02699230885086678,0.00043569963891094493,,,744
mom_12h,ret_fwd_4h,2026-06,0.037142518920853844,0.033492755490600205,,,273
mom_12h,ret_fwd_24h,2025-12,-0.01207783350982729,-0.044884676607651004,,,407
mom_12h,ret_fwd_24h,2026-01,-0.020033930116043125,-0.04384436609410877,,,744
mom_12h,ret_fwd_24h,2026-02,-0.07592701202942208,-0.04891374025580387,,,672
mom_12h,ret_fwd_24h,2026-03,0.017234328460194768,-0.014091177302613347,,,744
mom_12h,ret_fwd_24h,2026-04,0.007843684085012499,-0.05364702710641437,,,720
mom_12h,ret_fwd_24h,2026-05,0.005569352182241542,0.028607695256955997,,,744
mom_12h,ret_fwd_24h,2026-06,0.11759192426646145,0.13052681735709462,,,253
mom_12h,ret_fwd_72h,2025-12,0.002937257698954985,-0.017651466790434757,,,407
mom_12h,ret_fwd_72h,2026-01,0.025450292709723262,0.022855433293869992,,,744
mom_12h,ret_fwd_72h,2026-02,-0.030111652296795677,-0.03194475530073594,,,672
mom_12h,ret_fwd_72h,2026-03,-0.02561552265214952,-0.018911022156971876,,,744
mom_12h,ret_fwd_72h,2026-04,-0.03936351273305738,-0.015640657185104784,,,720
mom_12h,ret_fwd_72h,2026-05,0.023995904921339774,0.060600571779203194,,,744
mom_12h,ret_fwd_72h,2026-06,0.13231570339280652,0.0536772467298895,,,205
mom_24h,ret_fwd_1h,2025-12,-0.0009691475169685318,-0.024657626968757486,,,395
mom_24h,ret_fwd_1h,2026-01,-0.01087828694758152,-0.029238348526709947,,,744
mom_24h,ret_fwd_1h,2026-02,-0.02009986669966817,-0.014768356667860857,,,672
mom_24h,ret_fwd_1h,2026-03,0.021123735310657758,-0.01724599363406271,,,744
mom_24h,ret_fwd_1h,2026-04,0.0014280748368387405,-0.025015492994798785,,,720
mom_24h,ret_fwd_1h,2026-05,0.01820155625191143,0.00245897766642614,,,744
mom_24h,ret_fwd_1h,2026-06,0.037823325829498156,0.04276718263851931,,,276
mom_24h,ret_fwd_4h,2025-12,-0.02713988865984311,-0.04960808284168121,,,395
mom_24h,ret_fwd_4h,2026-01,-0.023584180250601508,-0.042799303254686394,,,744
mom_24h,ret_fwd_4h,2026-02,-0.02816179420948762,-0.02963123465236418,,,672
mom_24h,ret_fwd_4h,2026-03,0.028374121839063855,-0.020671366952322967,,,744
mom_24h,ret_fwd_4h,2026-04,-0.008550251845326977,-0.043117056668858074,,,720
mom_24h,ret_fwd_4h,2026-05,0.02160981353183694,0.025025697065236052,,,744
mom_24h,ret_fwd_4h,2026-06,0.07001386015653618,0.07555848786132939,,,273
mom_24h,ret_fwd_24h,2025-12,-0.0209192119242979,-0.03400714910921967,,,395
mom_24h,ret_fwd_24h,2026-01,-0.004851417939728561,-0.03321879238225913,,,744
mom_24h,ret_fwd_24h,2026-02,-0.029858074846919682,-0.018375725032207114,,,672
mom_24h,ret_fwd_24h,2026-03,-0.02812406000885358,0.006472547326001257,,,744
mom_24h,ret_fwd_24h,2026-04,0.019754560926679852,-0.04618091993054724,,,720
mom_24h,ret_fwd_24h,2026-05,0.047005141952096555,0.057129508029455454,,,744
mom_24h,ret_fwd_24h,2026-06,0.1870829590596091,0.1722719705443292,,,253
mom_24h,ret_fwd_72h,2025-12,0.0003037552164627013,-0.00822209888851024,,,395
mom_24h,ret_fwd_72h,2026-01,0.07266103235363613,0.05916097967977323,,,744
mom_24h,ret_fwd_72h,2026-02,-0.013256560124313702,-0.017195508867310735,,,672
mom_24h,ret_fwd_72h,2026-03,-0.04614197426745313,-0.015348982061623275,,,744
mom_24h,ret_fwd_72h,2026-04,-0.07989728539638324,-0.009852427388313786,,,720
mom_24h,ret_fwd_72h,2026-05,0.04178568319780264,0.0835615828791792,,,744
mom_24h,ret_fwd_72h,2026-06,0.1757985646067739,0.03374999273641672,,,205
mom_72h,ret_fwd_1h,2025-12,-0.0014944867610883331,-0.014604519515318062,,,347
mom_72h,ret_fwd_1h,2026-01,0.01341333548285097,-0.004374546918686029,,,744
mom_72h,ret_fwd_1h,2026-02,-0.002406557291620167,0.00042520988718519414,,,672
mom_72h,ret_fwd_1h,2026-03,0.01237624103365769,-0.0062703648763200205,,,744
mom_72h,ret_fwd_1h,2026-04,-0.0007826472272661682,-0.010339086374243052,,,720
mom_72h,ret_fwd_1h,2026-05,0.025984688248107603,0.0189895444444699,,,744
mom_72h,ret_fwd_1h,2026-06,0.04734413315573229,0.02714190340338553,,,276
mom_72h,ret_fwd_4h,2025-12,-0.005862289179572336,-0.018210302208115415,,,347
mom_72h,ret_fwd_4h,2026-01,0.02415863135859813,-0.008261656819028188,,,744
mom_72h,ret_fwd_4h,2026-02,-0.004062355301641742,-0.005052805061937105,,,672
mom_72h,ret_fwd_4h,2026-03,0.010041192785139234,-0.01641629355958869,,,744
mom_72h,ret_fwd_4h,2026-04,-0.009599677558752311,-0.016690224461647283,,,720
mom_72h,ret_fwd_4h,2026-05,0.0448167954381543,0.04656260519941685,,,744
mom_72h,ret_fwd_4h,2026-06,0.09341678690502797,0.04103389531284338,,,273
mom_72h,ret_fwd_24h,2025-12,0.017790140766955825,-0.025438015750078303,,,347
mom_72h,ret_fwd_24h,2026-01,0.06852360034302277,0.025151525448406504,,,744
mom_72h,ret_fwd_24h,2026-02,0.006828590439675817,-0.0019352558711401503,,,672
mom_72h,ret_fwd_24h,2026-03,-0.040531830428700545,-0.017125451471435085,,,744
mom_72h,ret_fwd_24h,2026-04,-0.02456180062741966,-0.01780576013080734,,,720
mom_72h,ret_fwd_24h,2026-05,0.040491985996824624,0.08695285814793,,,744
mom_72h,ret_fwd_24h,2026-06,0.1812379850780892,0.011713065682871594,,,253
mom_72h,ret_fwd_72h,2025-12,-0.055650997838072626,-0.07358514315831073,,,347
mom_72h,ret_fwd_72h,2026-01,0.19525946416670742,0.1502238940675099,,,744
mom_72h,ret_fwd_72h,2026-02,0.0629664386123088,0.025209665790892618,,,672
mom_72h,ret_fwd_72h,2026-03,-0.056491313283880865,-0.057404400540388194,,,744
mom_72h,ret_fwd_72h,2026-04,-0.14468840558582474,0.014596248229934538,,,720
mom_72h,ret_fwd_72h,2026-05,0.09368140900001305,0.09663831460954958,,,744
mom_72h,ret_fwd_72h,2026-06,0.22093698090608335,-0.09836277925804468,,,205
reversal_1h,ret_fwd_1h,2025-12,-0.02180976001501297,0.03424277515207575,,,418
reversal_1h,ret_fwd_1h,2026-01,0.024865205626739075,0.03755059506822987,,,744
reversal_1h,ret_fwd_1h,2026-02,0.0003248064320481713,0.02064505596978859,,,672
reversal_1h,ret_fwd_1h,2026-03,-0.004172259703716281,0.016726388967539287,,,744
reversal_1h,ret_fwd_1h,2026-04,0.014864618148324175,0.024060184749589375,,,720
reversal_1h,ret_fwd_1h,2026-05,0.026766688025264617,0.047338725508696174,,,744
reversal_1h,ret_fwd_1h,2026-06,-0.013734174478696444,0.032716084407901656,,,276
reversal_1h,ret_fwd_4h,2025-12,-0.01816267935092267,0.02412359751618352,,,418
reversal_1h,ret_fwd_4h,2026-01,0.01655624683033121,0.022765217292210402,,,744
reversal_1h,ret_fwd_4h,2026-02,0.0014088352470995828,0.02132634197831891,,,672
reversal_1h,ret_fwd_4h,2026-03,-0.008012544363451158,0.028330807901295874,,,744
reversal_1h,ret_fwd_4h,2026-04,0.0416436577148137,0.028073287477148687,,,720
reversal_1h,ret_fwd_4h,2026-05,0.006661869732301844,0.024713936987836183,,,744
reversal_1h,ret_fwd_4h,2026-06,-0.00627949200597161,0.02438755580033242,,,273
reversal_1h,ret_fwd_24h,2025-12,-0.00530662713811972,0.016035661350433973,,,418
reversal_1h,ret_fwd_24h,2026-01,0.007718607073216752,0.010870748509484197,,,744
reversal_1h,ret_fwd_24h,2026-02,0.019074829576980534,0.013622695854023774,,,672
reversal_1h,ret_fwd_24h,2026-03,-0.00935480315323692,0.013185117581508069,,,744
reversal_1h,ret_fwd_24h,2026-04,0.015951479589451475,0.025725013509764732,,,720
reversal_1h,ret_fwd_24h,2026-05,0.0019470971469677245,0.00542779864644245,,,744
reversal_1h,ret_fwd_24h,2026-06,-0.018074141856980277,-0.015115937540269495,,,253
reversal_1h,ret_fwd_72h,2025-12,0.004520533642998762,0.00999702524654392,,,418
reversal_1h,ret_fwd_72h,2026-01,-0.003886005251141666,-0.0070920166466793945,,,744
reversal_1h,ret_fwd_72h,2026-02,0.0025584037922492227,0.004137887000398422,,,672
reversal_1h,ret_fwd_72h,2026-03,-0.002475166564766518,0.0053220070669512485,,,744
reversal_1h,ret_fwd_72h,2026-04,0.019999503659465342,0.01343301575135606,,,720
reversal_1h,ret_fwd_72h,2026-05,-0.008057359453060119,-0.005799051037190964,,,744
reversal_1h,ret_fwd_72h,2026-06,-0.044757955549287125,-0.01406958976317831,,,205
reversal_4h,ret_fwd_1h,2025-12,-0.02180082138687082,0.027517438141699147,,,415
reversal_4h,ret_fwd_1h,2026-01,0.014474042651075682,0.0358254236633242,,,744
reversal_4h,ret_fwd_1h,2026-02,-0.0021486897160711443,0.017818054810185363,,,672
reversal_4h,ret_fwd_1h,2026-03,-0.022370973398890735,0.01947616663835502,,,744
reversal_4h,ret_fwd_1h,2026-04,0.029390041385418404,0.03113926064996254,,,720
reversal_4h,ret_fwd_1h,2026-05,-0.001680464051573838,0.022270642389436456,,,744
reversal_4h,ret_fwd_1h,2026-06,-0.032155954785507736,0.01869729707358315,,,276
reversal_4h,ret_fwd_4h,2025-12,-0.027623314454141942,0.046041367270312564,,,415
reversal_4h,ret_fwd_4h,2026-01,0.00990876150309676,0.019214961933567733,,,744
reversal_4h,ret_fwd_4h,2026-02,0.014274010508763469,0.011007736717759776,,,672
reversal_4h,ret_fwd_4h,2026-03,-0.027581172395815107,0.034982825916232155,,,744
reversal_4h,ret_fwd_4h,2026-04,0.03634173234555301,0.03694647242842196,,,720
reversal_4h,ret_fwd_4h,2026-05,-0.02294923403294012,0.01590409772578212,,,744
reversal_4h,ret_fwd_4h,2026-06,-0.046595010378607186,0.01463431940249035,,,273
reversal_4h,ret_fwd_24h,2025-12,-0.016973061492677608,0.01873524910380803,,,415
reversal_4h,ret_fwd_24h,2026-01,0.015791996537377187,0.024083755355281053,,,744
reversal_4h,ret_fwd_24h,2026-02,0.04387583233991592,0.030176155184016253,,,672
reversal_4h,ret_fwd_24h,2026-03,-0.022393018398181534,0.014745474900562914,,,744
reversal_4h,ret_fwd_24h,2026-04,0.013422932977940267,0.046806001295441886,,,720
reversal_4h,ret_fwd_24h,2026-05,-0.010090156123559967,-0.010735050409597645,,,744
reversal_4h,ret_fwd_24h,2026-06,-0.05953888375866401,-0.06448395165523663,,,253
reversal_4h,ret_fwd_72h,2025-12,-0.004955678520747029,0.009841388133696156,,,415
reversal_4h,ret_fwd_72h,2026-01,-0.013420338722963759,-0.014841882640278489,,,744
reversal_4h,ret_fwd_72h,2026-02,0.017743104683410657,0.012974178971751463,,,672
reversal_4h,ret_fwd_72h,2026-03,-0.0015367560213245973,0.014890274445934966,,,744
reversal_4h,ret_fwd_72h,2026-04,0.02633182438040276,0.017585884819510327,,,720
reversal_4h,ret_fwd_72h,2026-05,-0.017495237101644075,-0.02330949213723465,,,744
reversal_4h,ret_fwd_72h,2026-06,-0.08692861835402492,-0.036878318211474345,,,205
