symbol,known_at,effective_from,effective_to,sector,industry,subindustry,taxonomy_version,source,quality_flag
LDOUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
LIGHTUSDT,2026-06-28T00:00:00Z,2025-09-27T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
LINEAUSDT,2026-06-28T00:00:00Z,2025-09-01T09:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
LINKUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
LISTAUSDT,2026-06-28T00:00:00Z,2024-06-20T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
LITUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
LPTUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
LTCUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
LUNA2USDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
LYNUSDT,2026-06-28T00:00:00Z,2025-10-06T08:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
MAGICUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
MASKUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
MELANIAUSDT,2026-06-28T00:00:00Z,2025-01-20T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
MEMEUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
MEUSDT,2026-06-28T00:00:00Z,2024-12-10T18:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
MEWUSDT,2026-06-28T00:00:00Z,2024-06-17T15:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
MMTUSDT,2026-06-28T00:00:00Z,2025-11-04T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
MONUSDT,2026-06-28T00:00:00Z,2025-10-10T08:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
MOODENGUSDT,2026-06-28T00:00:00Z,2024-10-25T11:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
MOVEUSDT,2026-06-28T00:00:00Z,2024-12-09T15:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
MUBARAKUSDT,2026-06-28T00:00:00Z,2025-03-17T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
MUSDT,2026-06-28T00:00:00Z,2025-07-07T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
MYXUSDT,2026-06-28T00:00:00Z,2025-06-18T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
NEARUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
NEIROUSDT,2026-06-28T00:00:00Z,2024-09-16T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
NIGHTUSDT,2026-06-28T00:00:00Z,2025-12-10T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
NILUSDT,2026-06-28T00:00:00Z,2025-03-24T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
NMRUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
NOMUSDT,2026-06-28T00:00:00Z,2025-10-01T09:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
NOTUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
NXPCUSDT,2026-06-28T00:00:00Z,2025-05-15T07:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ONDOUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ONTUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
OPENUSDT,2026-06-28T00:00:00Z,2025-09-08T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
OPNUSDT,2026-06-28T00:00:00Z,2026-02-21T16:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
OPUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ORCAUSDT,2026-06-28T00:00:00Z,2024-12-06T16:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ORDIUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PAXGUSDT,2026-06-28T00:00:00Z,2025-03-27T11:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PENDLEUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PENGUUSDT,2026-06-28T00:00:00Z,2024-12-17T17:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PEOPLEUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PHAUSDT,2026-06-28T00:00:00Z,2024-12-30T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PIEVERSEUSDT,2026-06-28T00:00:00Z,2025-11-14T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PIPPINUSDT,2026-06-28T00:00:00Z,2025-01-24T11:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PIXELUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PLAYUSDT,2026-06-28T00:00:00Z,2025-07-31T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PNUTUSDT,2026-06-28T00:00:00Z,2024-11-11T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
POPCATUSDT,2026-06-28T00:00:00Z,2024-08-22T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
POWERUSDT,2026-06-28T00:00:00Z,2025-12-06T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PROMPTUSDT,2026-06-28T00:00:00Z,2025-04-11T07:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PROVEUSDT,2026-06-28T00:00:00Z,2025-08-05T18:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PUMPBTCUSDT,2026-06-28T00:00:00Z,2025-06-13T11:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PUMPUSDT,2026-06-28T00:00:00Z,2025-04-12T15:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
PYTHUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
RAREUSDT,2026-06-28T00:00:00Z,2024-08-15T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
RAVEUSDT,2026-06-28T00:00:00Z,2025-12-14T16:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
REDUSDT,2026-06-28T00:00:00Z,2025-03-06T17:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
RESOLVUSDT,2026-06-28T00:00:00Z,2025-06-10T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
REZUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
RIVERUSDT,2026-06-28T00:00:00Z,2025-10-17T15:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ROBOUSDT,2026-06-28T00:00:00Z,2026-02-27T09:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
RUNEUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
RVNUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SAGAUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SAHARAUSDT,2026-06-28T00:00:00Z,2025-06-26T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SANDUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SEIUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SENTUSDT,2026-06-28T00:00:00Z,2025-11-14T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SIGNUSDT,2026-06-28T00:00:00Z,2025-04-28T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SIRENUSDT,2026-06-28T00:00:00Z,2025-03-22T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SKLUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SKYAIUSDT,2026-06-28T00:00:00Z,2025-05-13T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SOLUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SOMIUSDT,2026-06-28T00:00:00Z,2025-08-25T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SOONUSDT,2026-06-28T00:00:00Z,2025-05-23T09:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SOPHUSDT,2026-06-28T00:00:00Z,2025-05-28T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SPACEUSDT,2026-06-28T00:00:00Z,2026-01-23T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SPELLUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SPKUSDT,2026-06-28T00:00:00Z,2025-06-17T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
SPXUSDT,2026-06-28T00:00:00Z,2024-12-10T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
