variant_id,fee_bps,slippage_bps,total_cost_bps,gross_mean_spread,gross_median_spread,estimated_cost_per_rebalance,net_mean_spread,net_median_spread,net_hit_rate,net_cumulative_spread,cost_drag_fraction,survives_cost_flag
signal_v0_core_only__4h__original_bucket0_guard,10,5,15,-0.00045908386580238795,0.00011639317467839133,0.00075,-0.0012090838658023882,-0.0006336068253216087,0.470662100456621,-21.18314932885784,1.6336884300848782,False
signal_v0_core_only__4h__original_bucket0_guard,10,10,20,-0.00045908386580238795,0.00011639317467839133,0.001,-0.001459083865802388,-0.0008836068253216087,0.4577625570776256,-25.56314932885784,2.1782512401131706,False
signal_v0_core_only__4h__original_bucket0_guard,10,25,35,-0.00045908386580238795,0.00011639317467839133,0.00175,-0.0022090838658023883,-0.0016336068253216087,0.4240867579908676,-38.70314932885784,3.811939670198049,False
signal_v0_pm_full_structured__4h__original_bucket0_guard,2,1,3,-0.0005705463883569951,6.474133397125585e-05,0.00015,-0.0007205463883569953,-8.525866602874414e-05,0.4957191780821918,-12.623972724014557,0.26290587945347554,False
signal_v0_pm_full_structured__4h__original_bucket0_guard,2,5,7,-0.0005705463883569951,6.474133397125585e-05,0.00035,-0.000920546388356995,-0.00028525866602874413,0.4857305936073059,-16.12797272401455,0.6134470520581096,False
signal_v0_pm_full_structured__4h__original_bucket0_guard,2,10,12,-0.0005705463883569951,6.474133397125585e-05,0.0006,-0.001170546388356995,-0.0005352586660287441,0.4737442922374429,-20.50797272401455,1.0516235178139022,False
signal_v0_pm_full_structured__4h__original_bucket0_guard,2,25,27,-0.0005705463883569951,6.474133397125585e-05,0.00135,-0.0019205463883569954,-0.0012852586660287444,0.43909817351598174,-33.64797272401456,2.36615291508128,False
signal_v0_pm_full_structured__4h__original_bucket0_guard,5,1,6,-0.0005705463883569951,6.474133397125585e-05,0.0003,-0.0008705463883569951,-0.0002352586660287441,0.4886415525114155,-15.251972724014555,0.5258117589069511,False
signal_v0_pm_full_structured__4h__original_bucket0_guard,5,5,10,-0.0005705463883569951,6.474133397125585e-05,0.0005,-0.0010705463883569951,-0.00043525866602874415,0.4785958904109589,-18.755972724014555,0.8763529315115851,False
signal_v0_pm_full_structured__4h__original_bucket0_guard,5,10,15,-0.0005705463883569951,6.474133397125585e-05,0.00075,-0.0013205463883569953,-0.0006852586660287441,0.4675228310502283,-23.135972724014557,1.3145293972673777,False
signal_v0_pm_full_structured__4h__original_bucket0_guard,5,25,30,-0.0005705463883569951,6.474133397125585e-05,0.0015,-0.002070546388356995,-0.0014352586660287443,0.43167808219178083,-36.27597272401455,2.6290587945347554,False
signal_v0_pm_full_structured__4h__original_bucket0_guard,10,1,11,-0.0005705463883569951,6.474133397125585e-05,0.00055,-0.001120546388356995,-0.00048525866602874417,0.47636986301369866,-19.631972724014553,0.9639882246627437,False
signal_v0_pm_full_structured__4h__original_bucket0_guard,10,5,15,-0.0005705463883569951,6.474133397125585e-05,0.00075,-0.0013205463883569953,-0.0006852586660287441,0.4675228310502283,-23.135972724014557,1.3145293972673777,False
signal_v0_pm_full_structured__4h__original_bucket0_guard,10,10,20,-0.0005705463883569951,6.474133397125585e-05,0.001,-0.0015705463883569951,-0.0009352586660287441,0.4563356164383562,-27.515972724014556,1.7527058630231702,False
signal_v0_pm_full_structured__4h__original_bucket0_guard,10,25,35,-0.0005705463883569951,6.474133397125585e-05,0.00175,-0.002320546388356995,-0.0016852586660287441,0.4187785388127854,-40.65597272401455,3.067235260290548,False
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,2,1,3,-0.0005033760271241773,9.55932841149032e-05,0.00015,-0.0006533760271241776,-5.440671588509679e-05,0.49731735159817353,-11.447147995215591,0.2979879690674992,False
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,2,5,7,-0.0005033760271241773,9.55932841149032e-05,0.00035,-0.0008533760271241772,-0.0002544067158850968,0.4882420091324201,-14.951147995215585,0.6953052611574982,False
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,2,10,12,-0.0005033760271241773,9.55932841149032e-05,0.0006,-0.0011033760271241771,-0.0005044067158850967,0.4764269406392694,-19.331147995215584,1.1919518762699968,False
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,2,25,27,-0.0005033760271241773,9.55932841149032e-05,0.00135,-0.0018533760271241774,-0.0012544067158850969,0.44126712328767126,-32.47114799521559,2.681891721607493,False
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,5,1,6,-0.0005033760271241773,9.55932841149032e-05,0.0003,-0.0008033760271241773,-0.00020440671588509678,0.4908675799086758,-14.075147995215588,0.5959759381349984,False
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,5,5,10,-0.0005033760271241773,9.55932841149032e-05,0.0005,-0.0010033760271241777,-0.0004044067158850968,0.4808219178082192,-17.579147995215592,0.9932932302249975,False
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,5,10,15,-0.0005033760271241773,9.55932841149032e-05,0.00075,-0.0012533760271241773,-0.0006544067158850968,0.4680936073059361,-21.959147995215588,1.4899398453374961,False
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,5,25,30,-0.0005033760271241773,9.55932841149032e-05,0.0015,-0.0020033760271241773,-0.0014044067158850968,0.4348744292237443,-35.09914799521559,2.9798796906749923,False
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,10,1,11,-0.0005033760271241773,9.55932841149032e-05,0.00055,-0.0010533760271241772,-0.00045440671588509683,0.4781392694063927,-18.455147995215587,1.0926225532474974,False
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,10,5,15,-0.0005033760271241773,9.55932841149032e-05,0.00075,-0.0012533760271241773,-0.0006544067158850968,0.4680936073059361,-21.959147995215588,1.4899398453374961,False
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,10,10,20,-0.0005033760271241773,9.55932841149032e-05,0.001,-0.0015033760271241775,-0.0009044067158850968,0.45736301369863014,-26.33914799521559,1.986586460449995,False
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,10,25,35,-0.0005033760271241773,9.55932841149032e-05,0.00175,-0.002253376027124177,-0.0016544067158850968,0.42191780821917807,-39.479147995215584,3.476526305787491,False
signal_v0_core_only__1h__original_no_guard,2,1,3,-0.0003055965123666366,0.00015278108346727937,5.625e-05,-0.0003618465123666368,9.653108346727937e-05,0.5055365296803653,-6.339550896663477,0.18406623676553802,True
signal_v0_core_only__1h__original_no_guard,2,5,7,-0.0003055965123666366,0.00015278108346727937,0.00013125,-0.0004368465123666364,2.1531083467279374e-05,0.5010844748858447,-7.65355089666347,0.4294878857862554,True
signal_v0_core_only__1h__original_no_guard,2,10,12,-0.0003055965123666366,0.00015278108346727937,0.000225,-0.0005305965123666366,-7.221891653272063e-05,0.4953767123287671,-9.296050896663473,0.7362649470621521,False
signal_v0_core_only__1h__original_no_guard,2,25,27,-0.0003055965123666366,0.00015278108346727937,0.00050625,-0.0008118465123666364,-0.0003534689165327206,0.47648401826484016,-14.22355089666347,1.6565961308898423,False
