factor_i,factor_j,family_i,family_j,same_family,tier_i,tier_j,pearson_corr,spearman_corr,abs_spearman_corr,n_pairwise_obs,redundancy_level
mom_10h,candle_wick_lower,momentum,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,-0.027468,-0.036189,0.036189,552163,LOW_REDUNDANCY
mom_10h,xs_rank_ret_1h,momentum,cross_sectional_normalized,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.150669,0.175512,0.175512,552163,LOW_REDUNDANCY
mom_10h,xs_rank_vol,momentum,cross_sectional_normalized,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.02274,-0.008107,0.008107,551711,LOW_REDUNDANCY
mom_40h,rev_3h,momentum,reversal,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.285729,-0.227091,0.227091,550833,LOW_REDUNDANCY
mom_40h,rev_10h,momentum,reversal,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.515554,-0.431132,0.431132,550833,LOW_REDUNDANCY
mom_40h,rev_24h,momentum,reversal,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.783047,-0.710708,0.710708,550833,MODERATE_REDUNDANCY
mom_40h,vol_5h,momentum,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.220751,-0.003513,0.003513,550833,LOW_REDUNDANCY
mom_40h,vol_40h,momentum,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.269718,-0.01448,0.01448,550833,LOW_REDUNDANCY
mom_40h,vol_ratio_5_20,momentum,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,0.007246,0.007053,0.007053,549356,LOW_REDUNDANCY
mom_40h,range_1h,momentum,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.181119,-0.00329,0.00329,550833,LOW_REDUNDANCY
mom_40h,range_4h,momentum,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.070143,-0.009276,0.009276,550833,LOW_REDUNDANCY
mom_40h,range_24h,momentum,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.029483,-0.071428,0.071428,550833,LOW_REDUNDANCY
mom_40h,price_pos_24h,momentum,price_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.358293,0.510978,0.510978,550833,LOW_REDUNDANCY
mom_40h,price_pos_72h,momentum,price_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,0.537477,0.790314,0.790314,549479,MODERATE_REDUNDANCY
mom_40h,vol_zscore_20h,momentum,volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.015705,0.01538,0.01538,549356,LOW_REDUNDANCY
mom_40h,vol_zscore_48h,momentum,volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.057226,0.055697,0.055697,549081,LOW_REDUNDANCY
mom_40h,qvol_zscore_20h,momentum,quote_volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.038488,0.038702,0.038702,549356,LOW_REDUNDANCY
mom_40h,qvol_zscore_48h,momentum,quote_volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.101631,0.11014,0.11014,549081,LOW_REDUNDANCY
mom_40h,ma_gap_5_20,momentum,trend_ma,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.580043,0.533223,0.533223,550833,LOW_REDUNDANCY
mom_40h,ma_gap_10_40,momentum,trend_ma,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.820747,0.822206,0.822206,550833,MODERATE_REDUNDANCY
mom_40h,breakout_dist_20h,momentum,breakout,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.316108,0.449056,0.449056,550833,LOW_REDUNDANCY
mom_40h,breakout_dist_48h,momentum,breakout,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.531251,0.794654,0.794654,550543,MODERATE_REDUNDANCY
