variant_id,signal_id,horizon,direction_variant,guard_variant,mean_rankic,median_rankic,rankic_t_stat,rankic_positive_rate,mean_spread,median_spread,winsorized_spread_1_99,winsorized_spread_5_95,tail_trim_spread,spread_hit_rate,cumulative_spread_return,max_drawdown,n_timestamps,n_observations,upper_bucket_count_avg,lower_bucket_count_avg,bucket0_lower_leg_exposure_fraction,dropped_timestamp_count,dropped_timestamp_fraction
signal_v0_pm_full_structured__24h__inverted_no_guard,signal_v0_pm_full_structured,24h,inverted,no_guard,-0.03784935661205868,-0.03848720800889878,-21.077013996280566,0.43562942654786385,0.006593719067212754,0.00119979153801025,0.006231290224043184,0.005040121326633483,0.006585013576108731,0.5179346584418552,115.44283342876089,-10.047577311909343,17508,752844,8.6,8.6,0.5798617226570993,12,0.0006849315068493151
signal_v0_pm_full_structured__24h__inverted_bucket0_guard,signal_v0_pm_full_structured,24h,inverted,bucket0_guard,-0.03784935661205868,-0.03848720800889878,-21.077013996280566,0.43562942654786385,0.006540099091868323,0.0006984335280387291,0.006205295190395306,0.004771842687572641,0.006529220039052469,0.5094813799405986,114.50405490043059,-11.487745057701247,17508,752844,8.6,8.6,0.0,12,0.0006849315068493151
signal_v0_pm_full_structured__72h__original_no_guard,signal_v0_pm_full_structured,72h,original,no_guard,0.02672617862158329,0.022660098522167483,14.707989228613238,0.5353951890034364,-0.016746164182809224,-0.004324090401463569,-0.016402588986753328,-0.014370655293029616,-0.016724511518359877,0.470446735395189,-292.388026631849,-307.17956697807983,17460,750780,8.6,8.6,0.578149393889976,60,0.003424657534246575
signal_v0_pm_full_structured__72h__original_bucket0_guard,signal_v0_pm_full_structured,72h,original,bucket0_guard,0.02672617862158329,0.022660098522167483,14.707989228613238,0.5353951890034364,-0.01015598847813617,-0.00344975162233801,-0.009412789651702324,-0.007899813918591509,-0.010137262842168503,0.4648339060710195,-177.32355882825755,-189.92179979534043,17460,750780,8.6,8.6,0.0,60,0.003424657534246575
signal_v0_pm_full_structured__72h__inverted_no_guard,signal_v0_pm_full_structured,72h,inverted,no_guard,-0.02672617862158329,-0.022660098522167483,-14.707989228613238,0.4645475372279496,0.016746164182809224,0.004324090401463569,0.016402588986753328,0.014370655293029616,0.01672451151835989,0.529553264604811,292.388026631849,-32.78898241229296,17460,750780,8.6,8.6,0.578149393889976,60,0.003424657534246575
signal_v0_pm_full_structured__72h__inverted_bucket0_guard,signal_v0_pm_full_structured,72h,inverted,bucket0_guard,-0.02672617862158329,-0.022660098522167483,-14.707989228613238,0.4645475372279496,0.017031461617653836,0.004250292901323893,0.016751750963162497,0.014848898944433522,0.01702198442432806,0.5319587628865979,297.369319844236,-38.762857356177506,17460,750780,8.6,8.6,0.0,60,0.003424657534246575
signal_v0_family_balanced_diagnostic__1h__original_no_guard,signal_v0_family_balanced_diagnostic,1h,original,no_guard,0.030251334155524827,0.03225806451612903,17.13348942987026,0.555079908675799,-0.0003180691660871789,4.2259867226212395e-05,-0.0003066834055039108,-0.00024104561590040715,-0.00031541908429713454,0.5029109589041096,-5.572571789847374,-5.820745317398258,17520,753360,8.6,8.6,0.5802898048488802,0,0.0
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,signal_v0_family_balanced_diagnostic,1h,original,bucket0_guard,0.030251334155524827,0.03225806451612903,17.13348942987026,0.555079908675799,-0.00010326235112723932,8.128295055801507e-05,-9.839522538858824e-05,-6.921849027135925e-05,-0.00010789867116201121,0.5071917808219178,-1.8091563917492328,-2.0858373019965453,17520,753360,8.6,8.6,0.0,0,0.0
signal_v0_family_balanced_diagnostic__1h__inverted_no_guard,signal_v0_family_balanced_diagnostic,1h,inverted,no_guard,-0.030251334155524827,-0.03225806451612903,-17.13348942987026,0.4446917808219178,0.0003180691660871789,-4.2259867226212395e-05,0.0003066834055039122,0.00024104561590040677,0.00031541908429713454,0.4970890410958904,5.572571789847374,-0.500701113404404,17520,753360,8.6,8.6,0.5802898048488802,0,0.0
signal_v0_family_balanced_diagnostic__1h__inverted_bucket0_guard,signal_v0_family_balanced_diagnostic,1h,inverted,bucket0_guard,-0.030251334155524827,-0.03225806451612903,-17.13348942987026,0.4446917808219178,0.0003196070568460209,-7.232655562232175e-05,0.000295081157001772,0.0002265047664942146,0.00031515979728937175,0.4946917808219178,5.599515635942287,-0.6054771667538428,17520,753360,8.6,8.6,0.0,0,0.0
