factor_id,symbol,selected_rows,missing_rows,missing_rate
bb_zscore_20h,1000LUNCUSDT,744,0,0.0
bb_zscore_20h,1000RATSUSDT,2952,0,0.0
bb_zscore_20h,1MBABYDOGEUSDT,2208,0,0.0
bb_zscore_20h,2ZUSDT,720,0,0.0
bb_zscore_20h,SEIUSDT,3696,0,0.0
bb_zscore_20h,SENTUSDT,672,0,0.0
bb_zscore_20h,SIGNUSDT,720,0,0.0
bb_zscore_20h,SIRENUSDT,2208,0,0.0
bb_zscore_20h,SKLUSDT,720,0,0.0
bb_zscore_20h,SKYAIUSDT,1033,0,0.0
bb_zscore_20h,AGLDUSDT,672,0,0.0
bb_zscore_20h,SOONUSDT,1464,0,0.0
bb_zscore_20h,SOPHUSDT,744,0,0.0
bb_zscore_20h,TRADOORUSDT,1488,0,0.0
bb_zscore_20h,SPELLUSDT,672,0,0.0
bb_zscore_20h,SPKUSDT,2208,0,0.0
bb_zscore_20h,SPXUSDT,744,0,0.0
bb_zscore_20h,STABLEUSDT,744,0,0.0
bb_zscore_20h,STBLUSDT,744,0,0.0
bb_zscore_20h,STOUSDT,744,0,0.0
bb_zscore_20h,STRKUSDT,1488,0,0.0
bb_zscore_20h,STXUSDT,744,0,0.0
bb_zscore_20h,SUNUSDT,1464,0,0.0
bb_zscore_20h,SUSDT,744,0,0.0
bb_zscore_20h,SWARMSUSDT,1416,0,0.0
bb_zscore_20h,TAOUSDT,11185,0,0.0
bb_zscore_20h,TAUSDT,744,0,0.0
bb_zscore_20h,TNSRUSDT,744,0,0.0
bb_zscore_20h,SPACEUSDT,744,0,0.0
bb_zscore_20h,HUSDT,2208,0,0.0
bb_zscore_20h,HYPERUSDT,744,0,0.0
bb_zscore_20h,HYPEUSDT,8329,0,0.0
bb_zscore_20h,ICPUSDT,744,0,0.0
bb_zscore_20h,INITUSDT,2208,0,0.0
bb_zscore_20h,INJUSDT,3961,0,0.0
bb_zscore_20h,IOUSDT,2952,0,0.0
bb_zscore_20h,IPUSDT,2880,0,0.0
bb_zscore_20h,JELLYJELLYUSDT,1488,0,0.0
bb_zscore_20h,JUPUSDT,1416,0,0.0
bb_zscore_20h,KAITOUSDT,2184,0,0.0
bb_zscore_20h,KATUSDT,744,0,0.0
bb_zscore_20h,KERNELUSDT,744,0,0.0
bb_zscore_20h,COWUSDT,744,0,0.0
bb_zscore_20h,KITEUSDT,2208,0,0.0
bb_zscore_20h,ZROUSDT,3672,0,0.0
bb_zscore_20h,LAUSDT,744,0,0.0
bb_zscore_20h,LAYERUSDT,2928,0,0.0
bb_zscore_20h,LIGHTUSDT,1416,0,0.0
bb_zscore_20h,LINEAUSDT,744,0,0.0
bb_zscore_20h,LISTAUSDT,1488,0,0.0
bb_zscore_20h,LITUSDT,672,0,0.0
bb_zscore_20h,LPTUSDT,1464,0,0.0
bb_zscore_20h,LUNA2USDT,744,0,0.0
bb_zscore_20h,LYNUSDT,720,0,0.0
bb_zscore_20h,MAGICUSDT,1464,0,0.0
bb_zscore_20h,MASKUSDT,1464,0,0.0
