factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-10,2,Q3,-0.00019098,4.177e-05,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-10,3,Q4,-0.0002378,4.247e-05,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-10,4,Q5,-0.00019241,0.00010201,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-11,0,Q1,-0.00016317,0.00031812,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-11,1,Q2,-0.00015819,-0.00016238,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-11,2,Q3,-0.00017902,9.877e-05,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-11,3,Q4,-9.933e-05,-0.00017343,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-11,4,Q5,-0.00016597,5.367e-05,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-12,0,Q1,-4.671e-05,0.00018292,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-12,1,Q2,-0.00016815,5.863e-05,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-12,2,Q3,-5.522e-05,0.0002676,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-12,3,Q4,-0.00019251,6.903e-05,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-12,4,Q5,-3.11e-06,9.592e-05,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-01,0,Q1,-0.00016167,-2.628e-05,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-01,1,Q2,-0.00020954,2.316e-05,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-01,2,Q3,-4.235e-05,0.00012581,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-01,3,Q4,-0.00025722,-0.0001015,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-01,4,Q5,2.792e-05,0.0003762,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-02,0,Q1,-0.00023241,-0.00012817,672,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-02,1,Q2,-1.152e-05,-6.72e-06,672,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-02,2,Q3,-5.284e-05,-1.342e-05,672,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-02,3,Q4,3.12e-06,3.038e-05,672,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-02,4,Q5,-7.948e-05,-3.684e-05,672,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-03,0,Q1,-3.71e-06,-0.00010138,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-03,1,Q2,-4.563e-05,-0.00024655,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-03,2,Q3,-5.608e-05,-2.59e-06,744,,DIRECTION_UNKNOWN
