factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate
qvol_ma_ratio_20_80,quote_volume_liquidity,conditional,4h,-0.00672753,-0.00672753,0.12031179,0.12031179,-0.055918,-0.055918,-0.055918,-7.4446,0.4815,0.4815,17725,185.4,3286558,0.008956,False,DIRECTION_UNKNOWN,"SMA(quote_volume,20) / SMA(quote_volume,80) - 1; medium-vs-long liquidity regime",quote_volume,80,"SMA(quote_volume,20) / SMA(quote_volume,80) - 1; medium-vs-long liquidity regime",6.62e-05,-9.72e-06,7.592e-05,1.1562,0.4996
qvol_ma_ratio_20_80,quote_volume_liquidity,conditional,24h,-0.00795658,-0.00795658,0.11987352,0.11987352,-0.066375,-0.066375,-0.066375,-8.8318,0.4779,0.4779,17705,185.4,3286558,0.008956,False,DIRECTION_UNKNOWN,"SMA(quote_volume,20) / SMA(quote_volume,80) - 1; medium-vs-long liquidity regime",quote_volume,80,"SMA(quote_volume,20) / SMA(quote_volume,80) - 1; medium-vs-long liquidity regime",0.00041984,-8.25e-06,0.00042809,2.5973,0.5047
qvol_ma_ratio_20_80,quote_volume_liquidity,conditional,72h,-0.00476159,-0.00476159,0.11316641,0.11316641,-0.042076,-0.042076,-0.042076,-5.591,0.503,0.503,17657,185.4,3286558,0.008956,False,DIRECTION_UNKNOWN,"SMA(quote_volume,20) / SMA(quote_volume,80) - 1; medium-vs-long liquidity regime",quote_volume,80,"SMA(quote_volume,20) / SMA(quote_volume,80) - 1; medium-vs-long liquidity regime",0.00130633,-1.163e-05,0.00131796,4.0102,0.4988
price_volume_corr_20h,volume_price,conditional,1h,-0.02173599,-0.02173599,0.11466853,0.11466853,-0.189555,-0.189555,-0.189555,-25.2656,0.4202,0.4202,17766,185.7,3299518,0.005048,False,DIRECTION_UNKNOWN,"rolling_corr(ret_1h, pct_change(quote_volume), 20); attention diagnostic",close|quote_volume,21,"rolling_corr(ret_1h, pct_change(quote_volume), 20); attention diagnostic",1.784e-05,-2.783e-05,4.567e-05,1.4527,0.4976
price_volume_corr_20h,volume_price,conditional,4h,-0.03189871,-0.03189871,0.11693866,0.11693866,-0.272782,-0.272782,-0.272782,-36.3568,0.3844,0.3844,17764,185.7,3299518,0.005048,False,DIRECTION_UNKNOWN,"rolling_corr(ret_1h, pct_change(quote_volume), 20); attention diagnostic",close|quote_volume,21,"rolling_corr(ret_1h, pct_change(quote_volume), 20); attention diagnostic",5.341e-05,-0.00013249,0.0001859,2.9172,0.4963
price_volume_corr_20h,volume_price,conditional,24h,-0.04024845,-0.04024845,0.1156232,0.1156232,-0.3481,-0.3481,-0.3481,-46.3692,0.3561,0.3561,17744,185.7,3299518,0.005048,False,DIRECTION_UNKNOWN,"rolling_corr(ret_1h, pct_change(quote_volume), 20); attention diagnostic",close|quote_volume,21,"rolling_corr(ret_1h, pct_change(quote_volume), 20); attention diagnostic",0.00044937,-0.00043126,0.00088063,5.5623,0.5036
price_volume_corr_20h,volume_price,conditional,72h,-0.03572889,-0.03572889,0.11177162,0.11177162,-0.31966,-0.31966,-0.31966,-42.5232,0.3701,0.3701,17696,185.7,3299518,0.005048,False,DIRECTION_UNKNOWN,"rolling_corr(ret_1h, pct_change(quote_volume), 20); attention diagnostic",close|quote_volume,21,"rolling_corr(ret_1h, pct_change(quote_volume), 20); attention diagnostic",0.00142631,-0.00134477,0.00277108,8.9406,0.503
trend_efficiency_24h,trend_quality,positive,1h,-0.0020944,-0.0020944,0.12047206,0.12047206,-0.017385,-0.017385,-0.017385,-2.3183,0.4902,0.4902,17782,185.6,3301020,0.004595,False,COMPUTED,"abs(close/close_24h_ago-1) / sum(abs(ret_1h),24); cleaner directional move",close,24,"abs(close/close_24h_ago-1) / sum(abs(ret_1h),24); cleaner directional move",1.726e-05,8e-07,1.646e-05,0.5136,0.4999
trend_efficiency_24h,trend_quality,positive,4h,-0.00109483,-0.00109483,0.12447308,0.12447308,-0.008796,-0.008796,-0.008796,-1.1728,0.4863,0.4863,17780,185.6,3301020,0.004595,False,COMPUTED,"abs(close/close_24h_ago-1) / sum(abs(ret_1h),24); cleaner directional move",close,24,"abs(close/close_24h_ago-1) / sum(abs(ret_1h),24); cleaner directional move",8.31e-05,-0.00010878,0.00019188,3.0151,0.5059
trend_efficiency_24h,trend_quality,positive,24h,-0.00246329,-0.00246329,0.12851396,0.12851396,-0.019168,-0.019168,-0.019168,-2.5544,0.4775,0.4775,17760,185.6,3301020,0.004595,False,COMPUTED,"abs(close/close_24h_ago-1) / sum(abs(ret_1h),24); cleaner directional move",close,24,"abs(close/close_24h_ago-1) / sum(abs(ret_1h),24); cleaner directional move",0.00049745,-0.00055622,0.00105367,6.5118,0.5132
trend_efficiency_24h,trend_quality,positive,72h,-0.00387968,-0.00387968,0.1197519,0.1197519,-0.032398,-0.032398,-0.032398,-4.3117,0.4751,0.4751,17712,185.6,3301020,0.004595,False,COMPUTED,"abs(close/close_24h_ago-1) / sum(abs(ret_1h),24); cleaner directional move",close,24,"abs(close/close_24h_ago-1) / sum(abs(ret_1h),24); cleaner directional move",0.00122414,-0.00115101,0.00237514,7.5599,0.5156
price_pos_120h,price_position,conditional,1h,-0.01266161,-0.01266161,0.14019971,0.14019971,-0.090311,-0.090311,-0.090311,-12.0107,0.4631,0.4631,17687,185.7,3284605,0.009545,False,DIRECTION_UNKNOWN,(close - LL120) / (HH120 - LL120 + eps); long-window price location diagnostic,high|low|close,120,(close - LL120) / (HH120 - LL120 + eps); long-window price location diagnostic,4.729e-05,-3.384e-05,8.113e-05,2.2897,0.5034
price_pos_120h,price_position,conditional,4h,-0.01531602,-0.01531602,0.14410829,0.14410829,-0.106281,-0.106281,-0.106281,-14.1338,0.4562,0.4562,17685,185.7,3284605,0.009545,False,DIRECTION_UNKNOWN,(close - LL120) / (HH120 - LL120 + eps); long-window price location diagnostic,high|low|close,120,(close - LL120) / (HH120 - LL120 + eps); long-window price location diagnostic,0.00015707,-0.0001881,0.00034516,4.7353,0.509
price_pos_120h,price_position,conditional,24h,-0.00745962,-0.00745962,0.14830275,0.14830275,-0.0503,-0.0503,-0.0503,-6.6854,0.4775,0.4775,17665,185.7,3284605,0.009545,False,DIRECTION_UNKNOWN,(close - LL120) / (HH120 - LL120 + eps); long-window price location diagnostic,high|low|close,120,(close - LL120) / (HH120 - LL120 + eps); long-window price location diagnostic,0.00102654,-0.00079685,0.00182339,9.5791,0.5312
price_pos_120h,price_position,conditional,72h,0.00347955,0.00347955,0.14034214,0.14034214,0.024793,0.024793,0.024793,3.2908,0.5089,0.5089,17617,185.7,3284605,0.009545,False,DIRECTION_UNKNOWN,(close - LL120) / (HH120 - LL120 + eps); long-window price location diagnostic,high|low|close,120,(close - LL120) / (HH120 - LL120 + eps); long-window price location diagnostic,0.00386664,-0.00171841,0.00558505,16.0742,0.5453
