factor_name,category,expected_direction,status,used_in_current_signal,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_after_funding_long_short_horizon,best_after_funding_long_short_spread,best_after_funding_coverage_rate,best_bucket_tail_diagnosis,best_after_funding_bucket_tail_diagnosis,funding_adjusted_edge_flip,best_ic_win_rate_adjusted,coverage_min,missing_rate_max,direction_status,rankic_longshort_consistency,review_bucket,review_reasons,review_notes
wq101_alpha36,wq101,conditional,DIRECTION_UNKNOWN,False,open|close|volume|quote_volume,200,24h,0.01785821,24h,0.168531,24h,-0.00026945,-1.9738,24h,-0.00035626,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,True,0.5689,3253684,0.017993,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|funding-adjusted edge flips,Conditional direction; weak or no clear IC signal.
wq101_alpha39,wq101,conditional,DIRECTION_UNKNOWN,False,close|volume,251,4h,0.01844399,4h,0.149463,72h,-0.00302242,-10.1561,72h,-0.00316327,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,True,0.565,3240142,0.02208,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|funding-adjusted edge flips,Conditional direction; weak or no clear IC signal.
wq101_alpha57,wq101,conditional,DIRECTION_UNKNOWN,False,close|volume|quote_volume,31,1h,0.02079647,1h,0.179406,72h,-0.00036933,-1.2184,72h,-0.0004407,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5815,3299143,0.004273,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
wq101_alpha56,wq101,conditional,DIRECTION_UNKNOWN,False,close|cap,11,1h,0.01333487,1h,0.111796,72h,-0.00041061,-1.3644,72h,-0.00038145,1.0,ROBUST_SPREAD_NEGATIVE,MEAN_SPREAD_OUTLIER_DOMINATED,True,0.548,2989340,0.0,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|funding-adjusted edge flips,Conditional direction; weak or no clear IC signal.
wq101_alpha62,wq101,conditional,DIRECTION_UNKNOWN,False,open|high|low|volume|quote_volume,51,4h,0.00647054,24h,0.063079,24h,9.435e-05,0.8041,72h,-0.00025137,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,True,0.5259,3294032,0.005815,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,cost too thin|funding-adjusted edge flips|positive price-only spread turns non-positive after funding,Conditional direction; weak or no clear IC signal.
wq101_alpha64,wq101,conditional,DIRECTION_UNKNOWN,False,open|high|low|volume|quote_volume,149,72h,-0.00556147,72h,-0.053737,72h,-0.00065629,-2.5837,72h,-0.00083391,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.5174,3267552,0.013807,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,after_funding_mean_spread_outlier_dominated|mean_spread_outlier_dominated,Conditional direction; weak or no clear IC signal.
wq101_alpha66,wq101,conditional,DIRECTION_UNKNOWN,False,open|high|low|volume|quote_volume,17,4h,0.01133343,4h,0.107856,72h,-0.00218611,-7.5464,72h,-0.00233261,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5465,2893670,0.12665,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha71,wq101,conditional,DIRECTION_UNKNOWN,False,open|low|close|volume|quote_volume,229,4h,0.00569254,4h,0.052816,72h,-0.00045084,-1.8143,72h,-0.00060949,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5242,2593611,0.217212,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha72,wq101,conditional,DIRECTION_UNKNOWN,False,high|low|volume|quote_volume,49,4h,0.00815909,4h,0.081034,72h,0.00042001,1.6952,72h,0.00033517,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.5341,3196289,0.035316,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction; weak or no clear IC signal.
wq101_alpha73,wq101,conditional,DIRECTION_UNKNOWN,False,open|low|volume|quote_volume,26,72h,-0.00596438,72h,-0.049753,72h,-0.00303976,-10.1883,72h,-0.00348329,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5073,3301833,0.0,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction; weak or no clear IC signal.
