factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,after_funding_raw_mean_rank_ic,after_funding_direction_adjusted_mean_rank_ic,after_funding_t_stat,after_funding_n_periods,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha8,wq101,conditional,factor_registry,24h,0.00816503,0.00816503,0.00815106,0.00815106,9.0532,17769,9.0688,17769,186.2,3312224,0.000974,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#8: -rank(sum(open,5)*sum(returns,5)-delay(sum(open,5)*sum(returns,5),10)); panel rank semantics preserved"
wq101_alpha8,wq101,conditional,factor_registry,72h,0.00491777,0.00491777,0.0047111,0.0047111,5.3233,17721,5.5605,17721,186.2,3312224,0.000974,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#8: -rank(sum(open,5)*sum(returns,5)-delay(sum(open,5)*sum(returns,5),10)); panel rank semantics preserved"
wq101_alpha10,wq101,conditional,factor_registry,1h,0.01190215,0.01190215,0.0118704,0.0118704,14.3069,17801,14.3436,17801,186.2,3315183,8.1e-05,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#10: rank(conditional signed close delta over rolling four-bar delta extrema)
wq101_alpha10,wq101,conditional,factor_registry,4h,0.01016395,0.01016395,0.01017654,0.01017654,12.0699,17799,12.051,17799,186.2,3315183,8.1e-05,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#10: rank(conditional signed close delta over rolling four-bar delta extrema)
wq101_alpha10,wq101,conditional,factor_registry,24h,0.00329803,0.00329803,0.00336084,0.00336084,3.9314,17779,3.857,17779,186.2,3315183,8.1e-05,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#10: rank(conditional signed close delta over rolling four-bar delta extrema)
wq101_alpha10,wq101,conditional,factor_registry,72h,0.00102107,0.00102107,0.00110165,0.00110165,1.3072,17731,1.2121,17731,186.2,3315183,8.1e-05,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#10: rank(conditional signed close delta over rolling four-bar delta extrema)
wq101_alpha11,wq101,conditional,factor_registry,1h,0.0058834,0.0058834,0.00578257,0.00578257,6.4565,17800,6.569,17800,185.7,3306162,0.002802,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#11: (rank(ts_max(vwap-close,3))+rank(ts_min(vwap-close,3)))*rank(delta(volume,3))"
wq101_alpha11,wq101,conditional,factor_registry,4h,0.00359049,0.00359049,0.00342681,0.00342681,3.789,17798,3.9705,17798,185.7,3306162,0.002802,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#11: (rank(ts_max(vwap-close,3))+rank(ts_min(vwap-close,3)))*rank(delta(volume,3))"
wq101_alpha11,wq101,conditional,factor_registry,24h,0.00709056,0.00709056,0.00683267,0.00683267,7.4396,17778,7.7217,17778,185.7,3306162,0.002802,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#11: (rank(ts_max(vwap-close,3))+rank(ts_min(vwap-close,3)))*rank(delta(volume,3))"
wq101_alpha11,wq101,conditional,factor_registry,72h,0.00587473,0.00587473,0.00551467,0.00551467,6.0693,17730,6.4598,17730,185.7,3306162,0.002802,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#11: (rank(ts_max(vwap-close,3))+rank(ts_min(vwap-close,3)))*rank(delta(volume,3))"
wq101_alpha13,wq101,conditional,factor_registry,1h,0.00951073,0.00951073,0.00939331,0.00939331,14.8468,17802,15.0386,17802,186.2,3315183,8.1e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#13: -rank(covariance(rank(close), rank(volume), 5)); panel rank semantics preserved"
wq101_alpha13,wq101,conditional,factor_registry,4h,0.01309653,0.01309653,0.01285069,0.01285069,20.3599,17800,20.7586,17800,186.2,3315183,8.1e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#13: -rank(covariance(rank(close), rank(volume), 5)); panel rank semantics preserved"
wq101_alpha13,wq101,conditional,factor_registry,24h,0.01724056,0.01724056,0.01666809,0.01666809,26.4699,17780,27.3836,17780,186.2,3315183,8.1e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#13: -rank(covariance(rank(close), rank(volume), 5)); panel rank semantics preserved"
wq101_alpha13,wq101,conditional,factor_registry,72h,0.01391483,0.01391483,0.01304094,0.01304094,20.6894,17732,22.0709,17732,186.2,3315183,8.1e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#13: -rank(covariance(rank(close), rank(volume), 5)); panel rank semantics preserved"
wq101_alpha14,wq101,conditional,factor_registry,1h,0.00738388,0.00738388,0.00720144,0.00720144,8.4904,17797,8.7054,17797,185.7,3304941,0.003332,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#14: -rank(delta(returns,3))*correlation(open,volume,10); panel rank semantics preserved"
wq101_alpha14,wq101,conditional,factor_registry,4h,0.01205952,0.01205952,0.01170033,0.01170033,13.7581,17795,14.1821,17795,185.7,3304941,0.003332,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#14: -rank(delta(returns,3))*correlation(open,volume,10); panel rank semantics preserved"
wq101_alpha14,wq101,conditional,factor_registry,24h,0.01672902,0.01672902,0.01588494,0.01588494,18.6019,17775,19.5787,17775,185.7,3304941,0.003332,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#14: -rank(delta(returns,3))*correlation(open,volume,10); panel rank semantics preserved"
wq101_alpha14,wq101,conditional,factor_registry,72h,0.01541166,0.01541166,0.01432915,0.01432915,17.1651,17727,18.4628,17727,185.7,3304941,0.003332,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#14: -rank(delta(returns,3))*correlation(open,volume,10); panel rank semantics preserved"
wq101_alpha15,wq101,conditional,factor_registry,1h,0.00144847,0.00144847,0.00142973,0.00142973,2.0945,17802,2.1217,17802,149.9,2668015,0.195409,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#15: -sum(rank(correlation(rank(high),rank(volume),3)),3); panel rank semantics preserved"
